chid,pid,purpose,firstclass,tickettype,whopaid,luggage,age,male,income,seasonalticket,oricanton,descanton,TRAIN_TT,TRAIN_CO,TRAIN_HE,SM_TT,SM_CO,SM_HE,SM_SEATS,CAR_TT,CAR_CO,CHOICE
107,19,1,0,2,1,1,1,0,1,0,1,17,159,22,120,121,25,20,0,1200,13,2
108,19,1,0,2,1,1,1,0,1,0,1,17,177,26,30,128,31,20,1,1200,13,1
109,20,1,0,2,2,1,2,0,1,0,1,2,179,31,120,96,32,30,1,110,30,2
110,20,1,0,2,2,1,2,0,1,0,1,2,137,23,120,99,27,30,0,143,24,2
111,20,1,0,2,2,1,2,0,1,0,1,2,179,23,120,103,28,20,1,88,24,3
112,20,1,0,2,2,1,2,0,1,0,1,2,151,23,60,103,28,10,0,143,39,2
113,20,1,0,2,2,1,2,0,1,0,1,2,151,26,120,103,28,30,0,88,39,2
114,20,1,0,2,2,1,2,0,1,0,1,2,137,26,60,103,28,20,1,143,30,2
115,20,1,0,2,2,1,2,0,1,0,1,2,137,31,60,99,34,10,1,110,24,2
116,20,1,0,2,2,1,2,0,1,0,1,2,137,26,120,96,30,20,0,110,39,2
117,20,1,0,2,2,1,2,0,1,0,1,2,151,31,30,103,38,20,1,110,39,2
118,22,1,0,3,2,0,5,1,3,0,22,2,108,52,30,43,62,10,0,70,36,3
119,22,1,0,3,2,0,5,1,3,0,22,2,108,52,120,39,80,10,1,91,58,1
120,22,1,0,3,2,0,5,1,3,0,22,2,108,47,30,36,71,20,0,91,45,1
121,22,1,0,3,2,0,5,1,3,0,22,2,87,47,60,36,71,30,1,56,58,1
122,22,1,0,3,2,0,5,1,3,0,22,2,94,52,30,36,65,30,1,91,36,3
123,22,1,0,3,2,0,5,1,3,0,22,2,94,47,30,39,57,10,1,56,45,1
124,22,1,0,3,2,0,5,1,3,0,22,2,94,62,60,36,71,20,0,56,36,3
125,22,1,0,3,2,0,5,1,3,0,22,2,108,62,30,39,76,30,0,56,58,3
126,22,1,0,3,2,0,5,1,3,0,22,2,94,52,60,39,80,30,0,70,45,3
127,23,1,0,3,2,1,2,1,2,0,15,1,102,54,120,49,68,20,0,78,50,2
128,23,1,0,3,2,1,2,1,2,0,15,1,95,54,30,46,63,10,0,78,65,2
129,23,1,0,3,2,1,2,1,2,0,15,1,116,54,60,53,83,30,0,78,40,1
130,23,1,0,3,2,1,2,1,2,0,15,1,95,45,30,49,70,20,0,48,40,1
131,23,1,0,3,2,1,2,1,2,0,15,1,116,40,60,49,50,20,0,60,65,2
132,23,1,0,3,2,1,2,1,2,0,15,1,102,40,120,46,63,10,0,60,40,2
133,23,1,0,3,2,1,2,1,2,0,15,1,95,54,120,53,83,10,0,48,50,1
134,23,1,0,3,2,1,2,1,2,0,15,1,95,40,30,53,52,30,0,60,50,1
135,23,1,0,3,2,1,2,1,2,0,15,1,116,45,60,46,58,10,0,48,50,2
136,25,1,0,3,2,1,3,1,3,0,2,17,179,119,120,66,139,20,0,182,90,3
137,25,1,0,3,2,1,3,1,3,0,2,17,164,99,30,66,139,20,0,112,72,3
138,25,1,0,3,2,1,3,1,3,0,2,17,164,119,30,60,128,10,0,182,117,2
139,25,1,0,3,2,1,3,1,3,0,2,17,210,119,60,74,161,30,0,182,72,2
140,25,1,0,3,2,1,3,1,3,0,2,17,210,89,60,66,106,20,0,140,117,2
141,25,1,0,3,2,1,3,1,3,0,2,17,179,89,120,60,128,10,0,140,72,2
142,25,1,0,3,2,1,3,1,3,0,2,17,164,119,120,74,161,10,0,112,90,3
143,25,1,0,3,2,1,3,1,3,0,2,17,164,89,30,74,111,30,0,140,90,3
144,25,1,0,3,2,1,3,1,3,0,2,17,210,99,60,60,123,10,0,112,90,3
145,26,1,0,4,2,0,3,1,2,0,25,1,233,74,30,77,84,10,0,190,44,2
146,26,1,0,4,2,0,3,1,2,0,25,1,233,74,120,67,104,10,1,247,71,2
147,26,1,0,4,2,0,3,1,2,0,25,1,233,67,30,59,97,20,0,247,55,2
148,26,1,0,4,2,0,3,1,2,0,25,1,177,67,60,59,97,30,1,152,71,2
149,26,1,0,4,2,0,3,1,2,0,25,1,196,74,30,59,87,30,1,247,44,2
150,26,1,0,4,2,0,3,1,2,0,25,1,196,67,30,67,77,10,1,152,55,2
151,26,1,0,4,2,0,3,1,2,0,25,1,196,89,60,59,97,20,0,152,44,2
152,26,1,0,4,2,0,3,1,2,0,25,1,233,89,30,67,100,30,0,152,71,2
153,26,1,0,4,2,0,3,1,2,0,25,1,196,74,60,67,104,30,0,190,55,2
154,29,1,0,5,1,1,3,0,2,0,2,22,110,60,120,55,65,20,0,91,80,1
155,29,1,0,5,1,1,3,0,2,0,2,22,103,60,30,52,60,10,0,91,104,2
156,29,1,0,5,1,1,3,0,2,0,2,22,124,60,60,59,80,30,0,91,64,1
157,29,1,0,5,1,1,3,0,2,0,2,22,103,50,30,55,80,20,0,56,64,1
158,29,1,0,5,1,1,3,0,2,0,2,22,124,45,60,55,60,20,0,70,104,1
159,29,1,0,5,1,1,3,0,2,0,2,22,110,45,120,52,80,10,0,70,64,2
160,29,1,0,5,1,1,3,0,2,0,2,22,103,60,120,59,80,10,0,56,80,2
161,29,1,0,5,1,1,3,0,2,0,2,22,103,45,30,59,65,30,0,70,80,1
162,29,1,0,5,1,1,3,0,2,0,2,22,124,50,60,52,65,10,0,56,80,2
163,30,1,0,5,2,1,2,1,2,0,22,2,118,60,120,46,60,30,1,70,27,2
164,30,1,0,5,2,1,2,1,2,0,22,2,97,45,120,49,60,30,0,91,22,2
165,30,1,0,5,2,1,2,1,2,0,22,2,118,45,120,53,65,20,1,56,22,2
166,30,1,0,5,2,1,2,1,2,0,22,2,104,45,60,53,65,10,0,91,35,2
167,30,1,0,5,2,1,2,1,2,0,22,2,104,50,120,53,60,30,0,56,35,2
168,30,1,0,5,2,1,2,1,2,0,22,2,97,50,60,53,60,20,1,91,27,2
169,30,1,0,5,2,1,2,1,2,0,22,2,97,60,60,49,65,10,1,70,22,2
170,30,1,0,5,2,1,2,1,2,0,22,2,97,50,120,46,65,20,0,70,35,2
171,30,1,0,5,2,1,2,1,2,0,22,2,104,60,30,53,80,20,1,70,35,2
172,31,1,0,5,2,1,3,1,3,0,17,2,182,60,120,69,65,20,0,182,80,2
173,31,1,0,5,2,1,3,1,3,0,17,2,165,60,30,63,60,10,0,182,104,2
174,31,1,0,5,2,1,3,1,3,0,17,2,215,60,60,77,80,30,0,182,64,2
175,31,1,0,5,2,1,3,1,3,0,17,2,165,50,30,69,80,20,0,112,64,2
176,31,1,0,5,2,1,3,1,3,0,17,2,215,45,60,69,60,20,0,140,104,2
177,31,1,0,5,2,1,3,1,3,0,17,2,182,45,120,63,80,10,0,140,64,2
178,31,1,0,5,2,1,3,1,3,0,17,2,165,60,120,77,80,10,0,112,80,3
179,31,1,0,5,2,1,3,1,3,0,17,2,165,45,30,77,65,30,0,140,80,2
180,31,1,0,5,2,1,3,1,3,0,17,2,215,50,60,63,65,10,0,112,80,2
181,37,1,0,6,1,1,2,0,4,1,22,25,66,2600,30,37,3120,10,0,50,32,2
182,37,1,0,6,1,1,2,0,4,1,22,25,66,2600,120,35,4160,10,1,65,52,2
183,37,1,0,6,1,1,2,0,4,1,22,25,66,2340,30,33,4160,20,0,65,40,2
184,37,1,0,6,1,1,2,0,4,1,22,25,56,2340,60,33,4160,30,1,40,52,2
185,37,1,0,6,1,1,2,0,4,1,22,25,59,2600,30,33,3380,30,1,65,32,2
186,37,1,0,6,1,1,2,0,4,1,22,25,59,2340,30,35,3120,10,1,40,40,2
187,37,1,0,6,1,1,2,0,4,1,22,25,59,3120,60,33,3120,20,0,40,32,2
188,37,1,0,6,1,1,2,0,4,1,22,25,66,3120,30,35,3380,30,0,40,52,2
189,37,1,0,6,1,1,2,0,4,1,22,25,59,2600,60,35,4160,30,0,50,40,2
190,41,1,0,6,1,1,3,1,2,1,5,22,274,2600,30,131,3120,10,0,210,48,2
191,41,1,0,6,1,1,3,1,2,1,5,22,274,2600,120,123,4160,10,1,273,78,1
192,41,1,0,6,1,1,3,1,2,1,5,22,274,2340,30,117,4160,20,0,273,60,1
193,41,1,0,6,1,1,3,1,2,1,5,22,209,2340,60,117,4160,30,1,168,78,1
194,41,1,0,6,1,1,3,1,2,1,5,22,231,2600,30,117,3380,30,1,273,48,2
195,41,1,0,6,1,1,3,1,2,1,5,22,231,2340,30,123,3120,10,1,168,60,2
196,41,1,0,6,1,1,3,1,2,1,5,22,231,3120,60,117,3120,20,0,168,48,2
197,41,1,0,6,1,1,3,1,2,1,5,22,274,3120,30,123,3380,30,0,168,78,2
198,41,1,0,6,1,1,3,1,2,1,5,22,231,2600,60,123,4160,30,0,210,60,1
199,42,1,0,6,2,1,2,1,3,1,1,2,109,2600,30,44,3120,10,0,90,40,2
200,42,1,0,6,2,1,2,1,3,1,1,2,109,2600,120,40,4160,10,1,117,65,2
201,42,1,0,6,2,1,2,1,3,1,1,2,109,2340,30,37,4160,20,0,117,50,1
202,42,1,0,6,2,1,2,1,3,1,1,2,88,2340,60,37,4160,30,1,72,65,2
203,42,1,0,6,2,1,2,1,3,1,1,2,95,2600,30,37,3380,30,1,117,40,2
204,42,1,0,6,2,1,2,1,3,1,1,2,95,2340,30,40,3120,10,1,72,50,2
205,42,1,0,6,2,1,2,1,3,1,1,2,95,3120,60,37,3120,20,0,72,40,2
206,42,1,0,6,2,1,2,1,3,1,1,2,109,3120,30,40,3380,30,0,72,65,2
207,42,1,0,6,2,1,2,1,3,1,1,2,95,2600,60,40,4160,30,0,90,50,2
208,44,1,0,6,2,1,3,1,3,1,1,2,141,3120,120,62,3120,30,1,90,55,2
209,44,1,0,6,2,1,3,1,3,1,1,2,109,2340,120,65,3120,30,0,117,44,2
210,44,1,0,6,2,1,3,1,3,1,1,2,141,2340,120,69,3380,20,1,72,44,2
211,44,1,0,6,2,1,3,1,3,1,1,2,120,2340,60,69,3380,10,0,117,71,2
212,44,1,0,6,2,1,3,1,3,1,1,2,120,2600,120,69,3120,30,0,72,71,2
213,44,1,0,6,2,1,3,1,3,1,1,2,109,2600,60,69,3120,20,1,117,55,2
214,44,1,0,6,2,1,3,1,3,1,1,2,109,3120,60,65,3380,10,1,90,44,2
215,44,1,0,6,2,1,3,1,3,1,1,2,109,2600,120,62,3380,20,0,90,71,2
216,44,1,0,6,2,1,3,1,3,1,1,2,120,3120,30,69,4160,20,1,90,71,1
217,45,1,0,6,2,1,3,1,3,1,19,2,173,2600,30,97,3120,10,0,90,48,2
218,45,1,0,6,2,1,3,1,3,1,19,2,173,2600,120,93,4160,10,1,117,78,1
219,45,1,0,6,2,1,3,1,3,1,19,2,173,2340,30,90,4160,20,0,117,60,1
220,45,1,0,6,2,1,3,1,3,1,19,2,136,2340,60,90,4160,30,1,72,78,1
221,45,1,0,6,2,1,3,1,3,1,19,2,148,2600,30,90,3380,30,1,117,48,1
222,45,1,0,6,2,1,3,1,3,1,19,2,148,2340,30,93,3120,10,1,72,60,2
223,45,1,0,6,2,1,3,1,3,1,19,2,148,3120,60,90,3120,20,0,72,48,2
224,45,1,0,6,2,1,3,1,3,1,19,2,173,3120,30,93,3380,30,0,72,78,2
225,45,1,0,6,2,1,3,1,3,1,19,2,148,2600,60,93,4160,30,0,90,60,1
226,47,1,0,6,3,1,2,1,2,1,17,1,92,3120,120,39,3380,20,0,78,30,2
227,47,1,0,6,3,1,2,1,2,1,17,1,85,3120,30,36,3120,10,0,78,39,2
228,47,1,0,6,3,1,2,1,2,1,17,1,106,3120,60,43,4160,30,0,78,24,2
229,47,1,0,6,3,1,2,1,2,1,17,1,85,2600,30,39,4160,20,0,48,24,2
230,47,1,0,6,3,1,2,1,2,1,17,1,106,2340,60,39,3120,20,0,60,39,2
231,47,1,0,6,3,1,2,1,2,1,17,1,92,2340,120,36,4160,10,0,60,24,2
232,47,1,0,6,3,1,2,1,2,1,17,1,85,3120,120,43,4160,10,0,48,30,2
233,47,1,0,6,3,1,2,1,2,1,17,1,85,2340,30,43,3380,30,0,60,30,2
234,47,1,0,6,3,1,2,1,2,1,17,1,106,2600,60,36,3380,10,0,48,30,2
235,48,1,0,6,3,1,3,1,2,1,25,22,54,3120,120,21,3120,30,1,40,84,2
236,48,1,0,6,3,1,3,1,2,1,25,22,54,2340,120,25,3380,20,1,32,67,1
237,48,1,0,6,3,1,3,1,2,1,25,22,44,2340,120,23,3120,30,0,52,67,2
238,48,1,0,6,3,1,3,1,2,1,25,22,47,2340,60,25,3380,10,0,52,109,1
239,48,1,0,6,3,1,3,1,2,1,25,22,47,2600,120,25,3120,30,0,32,109,2
240,48,1,0,6,3,1,3,1,2,1,25,22,44,2600,60,25,3120,20,1,52,84,2
241,48,1,0,6,3,1,3,1,2,1,25,22,44,3120,60,23,3380,10,1,40,67,2
242,48,1,0,6,3,1,3,1,2,1,25,22,47,3120,30,25,4160,20,1,40,109,1
243,48,1,0,6,3,1,3,1,2,1,25,22,44,2600,120,21,3380,20,0,40,109,1
244,49,1,0,6,3,1,3,1,3,1,1,2,133,2600,30,62,3120,10,0,75,40,2
245,49,1,0,6,3,1,3,1,3,1,1,2,133,2600,120,58,4160,10,1,97,65,2
246,49,1,0,6,3,1,3,1,3,1,1,2,133,2340,30,55,4160,20,0,97,50,2
247,49,1,0,6,3,1,3,1,3,1,1,2,103,2340,60,55,4160,30,1,60,65,2
248,49,1,0,6,3,1,3,1,3,1,1,2,113,2600,30,55,3380,30,1,97,40,2
249,49,1,0,6,3,1,3,1,3,1,1,2,113,2340,30,58,3120,10,1,60,50,2
250,49,1,0,6,3,1,3,1,3,1,1,2,113,3120,60,55,3120,20,0,60,40,2
251,49,1,0,6,3,1,3,1,3,1,1,2,133,3120,30,58,3380,30,0,60,65,2
252,49,1,0,6,3,1,3,1,3,1,1,2,113,2600,60,58,4160,30,0,75,50,2
253,50,1,0,6,3,1,4,1,2,1,17,2,263,3120,120,112,3120,30,1,150,75,2
254,50,1,0,6,3,1,4,1,2,1,17,2,203,2340,120,118,3120,30,0,195,60,2
255,50,1,0,6,3,1,4,1,2,1,17,2,263,2340,120,126,3380,20,1,120,60,2
256,50,1,0,6,3,1,4,1,2,1,17,2,223,2340,60,126,3380,10,0,195,97,2
257,50,1,0,6,3,1,4,1,2,1,17,2,223,2600,120,126,3120,30,0,120,97,2
258,50,1,0,6,3,1,4,1,2,1,17,2,203,2600,60,126,3120,20,1,195,75,2
259,50,1,0,6,3,1,4,1,2,1,17,2,203,3120,60,118,3380,10,1,150,60,2
260,50,1,0,6,3,1,4,1,2,1,17,2,203,2600,120,112,3380,20,0,150,97,2
261,50,1,0,6,3,1,4,1,2,1,17,2,223,3120,30,126,4160,20,1,150,97,1
262,51,1,0,6,3,1,4,1,2,1,25,10,107,2600,30,81,3120,10,0,90,44,2
263,51,1,0,6,3,1,4,1,2,1,25,10,107,2600,120,79,4160,10,1,117,71,2
264,51,1,0,6,3,1,4,1,2,1,25,10,107,2340,30,77,4160,20,0,117,55,2
265,51,1,0,6,3,1,4,1,2,1,25,10,82,2340,60,77,4160,30,1,72,71,2
266,51,1,0,6,3,1,4,1,2,1,25,10,90,2600,30,77,3380,30,1,117,44,2
267,51,1,0,6,3,1,4,1,2,1,25,10,90,2340,30,79,3120,10,1,72,55,2
268,51,1,0,6,3,1,4,1,2,1,25,10,90,3120,60,77,3120,20,0,72,44,2
269,51,1,0,6,3,1,4,1,2,1,25,10,107,3120,30,79,3380,30,0,72,71,2
270,51,1,0,6,3,1,4,1,2,1,25,10,90,2600,60,79,4160,30,0,90,55,2
271,53,1,0,6,3,3,2,1,3,1,1,2,138,3120,120,83,3380,20,0,104,160,2
272,53,1,0,6,3,3,2,1,3,1,1,2,126,3120,30,80,3120,10,0,104,208,2
273,53,1,0,6,3,3,2,1,3,1,1,2,163,3120,60,87,4160,30,0,104,128,2
274,53,1,0,6,3,3,2,1,3,1,1,2,126,2600,30,83,4160,20,0,64,128,1
275,53,1,0,6,3,3,2,1,3,1,1,2,163,2340,60,83,3120,20,0,80,208,2
276,53,1,0,6,3,3,2,1,3,1,1,2,138,2340,120,80,4160,10,0,80,128,2
277,53,1,0,6,3,3,2,1,3,1,1,2,126,3120,120,87,4160,10,0,64,160,2
278,53,1,0,6,3,3,2,1,3,1,1,2,126,2340,30,87,3380,30,0,80,160,2
279,53,1,0,6,3,3,2,1,3,1,1,2,163,2600,60,80,3380,10,0,64,160,2
280,56,1,0,8,1,1,2,0,4,0,17,1,97,218,30,39,262,10,0,50,28,2
281,56,1,0,8,1,1,2,0,4,0,17,1,97,218,120,36,349,10,1,65,45,2
282,56,1,0,8,1,1,2,0,4,0,17,1,97,196,30,34,349,20,0,65,35,1
283,56,1,0,8,1,1,2,0,4,0,17,1,79,196,60,34,349,30,1,40,45,1
284,56,1,0,8,1,1,2,0,4,0,17,1,85,218,30,34,283,30,1,65,28,2
285,56,1,0,8,1,1,2,0,4,0,17,1,85,196,30,36,262,10,1,40,35,2
286,56,1,0,8,1,1,2,0,4,0,17,1,85,262,60,34,262,20,0,40,28,2
287,56,1,0,8,1,1,2,0,4,0,17,1,97,262,30,36,283,30,0,40,45,2
288,56,1,0,8,1,1,2,0,4,0,17,1,85,218,60,36,349,30,0,50,35,2
289,57,1,0,8,2,0,3,0,3,0,1,22,257,60,120,102,60,30,1,160,105,2
290,57,1,0,8,2,0,3,0,3,0,1,22,195,45,120,108,60,30,0,208,84,2
291,57,1,0,8,2,0,3,0,3,0,1,22,257,45,120,116,65,20,1,128,84,2
292,57,1,0,8,2,0,3,0,3,0,1,22,216,45,60,116,65,10,0,208,136,2
293,57,1,0,8,2,0,3,0,3,0,1,22,216,50,120,116,60,30,0,128,136,2
294,57,1,0,8,2,0,3,0,3,0,1,22,195,50,60,116,60,20,1,208,105,2
