chid,pid,purpose,firstclass,tickettype,whopaid,luggage,age,male,income,seasonalticket,oricanton,descanton,CO,HE,seats,TT,alt,match
10,3,1,0,1,1,1,2,1,2,0,10,25,0.35,0.1,2,0.29,1,1
10,3,1,0,1,1,1,2,1,2,0,10,25,0.4,0,0,1.05,2,0
11,3,1,0,1,1,1,2,1,2,0,10,25,0.29,0.3,0,0.58,0,0
11,3,1,0,1,1,1,2,1,2,0,10,25,0.38,0.2,2,0.25,1,1
11,3,1,0,1,1,1,2,1,2,0,10,25,0.5,0,0,1.36,2,0
12,3,1,0,1,1,1,2,1,2,0,10,25,0.32,1.2,0,0.58,0,0
12,3,1,0,1,1,1,2,1,2,0,10,25,0.4,0.1,1,0.27,1,1
12,3,1,0,1,1,1,2,1,2,0,10,25,0.65,0,0,1.36,2,0
13,3,1,0,1,1,1,2,1,2,0,10,25,0.29,0.6,0,0.47,0,0
13,3,1,0,1,1,1,2,1,2,0,10,25,0.38,0.3,1,0.25,1,1
13,3,1,0,1,1,1,2,1,2,0,10,25,0.65,0,0,0.84,2,0
14,3,1,0,1,1,1,2,1,2,0,10,25,0.32,0.3,0,0.51,0,0
14,3,1,0,1,1,1,2,1,2,0,10,25,0.36,0.3,1,0.25,1,1
14,3,1,0,1,1,1,2,1,2,0,10,25,0.4,0,0,1.36,2,0
15,3,1,0,1,1,1,2,1,2,0,10,25,0.38,0.6,0,0.51,0,0
15,3,1,0,1,1,1,2,1,2,0,10,25,0.42,0.2,2,0.25,1,1
15,3,1,0,1,1,1,2,1,2,0,10,25,0.4,0,0,0.84,2,0
16,3,1,0,1,1,1,2,1,2,0,10,25,0.29,0.3,0,0.51,0,0
16,3,1,0,1,1,1,2,1,2,0,10,25,0.32,0.1,1,0.27,1,1
16,3,1,0,1,1,1,2,1,2,0,10,25,0.5,0,0,0.84,2,0
17,3,1,0,1,1,1,2,1,2,0,10,25,0.32,0.6,0,0.51,0,0
17,3,1,0,1,1,1,2,1,2,0,10,25,0.4,0.3,2,0.27,1,1
17,3,1,0,1,1,1,2,1,2,0,10,25,0.5,0,0,1.05,2,0
18,3,1,0,1,1,1,2,1,2,0,10,25,0.38,0.3,0,0.58,0,0
18,3,1,0,1,1,1,2,1,2,0,10,25,0.42,0.3,2,0.27,1,1
18,3,1,0,1,1,1,2,1,2,0,10,25,0.65,0,0,0.84,2,0
19,4,1,0,1,1,1,2,1,3,0,19,2,0.4,0.3,0,1.38,0,0
19,4,1,0,1,1,1,2,1,3,0,19,2,0.45,0.1,2,0.65,1,1
19,4,1,0,1,1,1,2,1,3,0,19,2,0.8,0,0,1.35,2,0
20,4,1,0,1,1,1,2,1,3,0,19,2,0.4,1.2,0,1.38,0,0
20,4,1,0,1,1,1,2,1,3,0,19,2,0.52,0.1,1,0.61,1,1
20,4,1,0,1,1,1,2,1,3,0,19,2,1.3,0,0,1.75,2,0
21,4,1,0,1,1,1,2,1,3,0,19,2,0.36,0.3,0,1.38,0,0
21,4,1,0,1,1,1,2,1,3,0,19,2,0.49,0.2,2,0.58,1,1
21,4,1,0,1,1,1,2,1,3,0,19,2,1,0,0,1.75,2,0
22,4,1,0,1,1,1,2,1,3,0,19,2,0.36,0.6,0,1.05,0,0
22,4,1,0,1,1,1,2,1,3,0,19,2,0.49,0.3,1,0.58,1,1
22,4,1,0,1,1,1,2,1,3,0,19,2,1.3,0,0,1.08,2,0
23,4,1,0,1,1,1,2,1,3,0,19,2,0.4,0.3,0,1.16,0,0
23,4,1,0,1,1,1,2,1,3,0,19,2,0.46,0.3,1,0.58,1,1
23,4,1,0,1,1,1,2,1,3,0,19,2,0.8,0,0,1.75,2,0
24,4,1,0,1,1,1,2,1,3,0,19,2,0.36,0.3,0,1.16,0,0
24,4,1,0,1,1,1,2,1,3,0,19,2,0.42,0.1,1,0.61,1,1
24,4,1,0,1,1,1,2,1,3,0,19,2,1,0,0,1.08,2,0
25,4,1,0,1,1,1,2,1,3,0,19,2,0.48,0.6,0,1.16,0,0
25,4,1,0,1,1,1,2,1,3,0,19,2,0.5,0.2,2,0.58,1,1
25,4,1,0,1,1,1,2,1,3,0,19,2,0.8,0,0,1.08,2,0
26,4,1,0,1,1,1,2,1,3,0,19,2,0.48,0.3,0,1.38,0,0
26,4,1,0,1,1,1,2,1,3,0,19,2,0.52,0.3,2,0.61,1,1
26,4,1,0,1,1,1,2,1,3,0,19,2,1.3,0,0,1.08,2,0
27,4,1,0,1,1,1,2,1,3,0,19,2,0.4,0.6,0,1.16,0,0
27,4,1,0,1,1,1,2,1,3,0,19,2,0.52,0.3,2,0.61,1,1
27,4,1,0,1,1,1,2,1,3,0,19,2,1,0,0,1.35,2,0
28,6,1,0,1,1,1,3,0,3,0,9,17,0.35,1.2,0,1.16,0,0
28,6,1,0,1,1,1,3,0,3,0,9,17,0.38,0.3,1,0.46,1,1
28,6,1,0,1,1,1,3,0,3,0,9,17,0.35,0,0,0.7,2,0
29,6,1,0,1,1,1,3,0,3,0,9,17,0.26,1.2,0,0.95,0,0
29,6,1,0,1,1,1,3,0,3,0,9,17,0.29,0.3,2,0.49,1,1
29,6,1,0,1,1,1,3,0,3,0,9,17,0.28,0,0,0.91,2,0
30,6,1,0,1,1,1,3,0,3,0,9,17,0.26,1.2,0,1.16,0,0
30,6,1,0,1,1,1,3,0,3,0,9,17,0.32,0.2,1,0.53,1,1
30,6,1,0,1,1,1,3,0,3,0,9,17,0.28,0,0,0.56,2,0
31,6,1,0,1,1,1,3,0,3,0,9,17,0.26,0.6,0,1.02,0,0
31,6,1,0,1,1,1,3,0,3,0,9,17,0.32,0.1,2,0.53,1,1
31,6,1,0,1,1,1,3,0,3,0,9,17,0.45,0,0,0.91,2,0
32,6,1,0,1,1,1,3,0,3,0,9,17,0.29,1.2,0,1.02,0,0
32,6,1,0,1,1,1,3,0,3,0,9,17,0.32,0.3,2,0.53,1,1
32,6,1,0,1,1,1,3,0,3,0,9,17,0.45,0,0,0.56,2,0
33,6,1,0,1,1,1,3,0,3,0,9,17,0.29,0.6,0,0.95,0,0
33,6,1,0,1,1,1,3,0,3,0,9,17,0.32,0.2,1,0.53,1,1
33,6,1,0,1,1,1,3,0,3,0,9,17,0.35,0,0,0.91,2,0
34,6,1,0,1,1,1,3,0,3,0,9,17,0.35,0.6,0,0.95,0,0
34,6,1,0,1,1,1,3,0,3,0,9,17,0.4,0.1,1,0.49,1,1
34,6,1,0,1,1,1,3,0,3,0,9,17,0.28,0,0,0.7,2,0
35,6,1,0,1,1,1,3,0,3,0,9,17,0.29,1.2,0,0.95,0,0
35,6,1,0,1,1,1,3,0,3,0,9,17,0.35,0.2,2,0.46,1,1
35,6,1,0,1,1,1,3,0,3,0,9,17,0.45,0,0,0.7,2,0
36,6,1,0,1,1,1,3,0,3,0,9,17,0.35,0.3,0,1.02,0,0
36,6,1,0,1,1,1,3,0,3,0,9,17,0.46,0.2,1,0.53,1,1
36,6,1,0,1,1,1,3,0,3,0,9,17,0.45,0,0,0.7,2,0
37,7,1,0,1,1,1,3,1,1,0,1,2,0.42,1.2,0,0.87,0,0
37,7,1,0,1,1,1,3,1,1,0,1,2,0.49,0.2,2,0.32,1,1
37,7,1,0,1,1,1,3,1,1,0,1,2,1.4,0,0,1.17,2,0
38,7,1,0,1,1,1,3,1,1,0,1,2,0.42,0.3,0,0.8,0,0
38,7,1,0,1,1,1,3,1,1,0,1,2,0.46,0.1,2,0.29,1,1
38,7,1,0,1,1,1,3,1,1,0,1,2,1.82,0,0,1.17,2,0
39,7,1,0,1,1,1,3,1,1,0,1,2,0.42,0.6,0,1.01,0,0
39,7,1,0,1,1,1,3,1,1,0,1,2,0.56,0.3,2,0.36,1,1
39,7,1,0,1,1,1,3,1,1,0,1,2,1.12,0,0,1.17,2,0
40,7,1,0,1,1,1,3,1,1,0,1,2,0.35,0.3,0,0.8,0,0
40,7,1,0,1,1,1,3,1,1,0,1,2,0.49,0.2,2,0.32,1,1
40,7,1,0,1,1,1,3,1,1,0,1,2,1.12,0,0,0.72,2,0
41,7,1,0,1,1,1,3,1,1,0,1,2,0.31,0.6,0,1.01,0,0
41,7,1,0,1,1,1,3,1,1,0,1,2,0.38,0.2,2,0.32,1,1
41,7,1,0,1,1,1,3,1,1,0,1,2,1.82,0,0,0.9,2,0
42,7,1,0,1,1,1,3,1,1,0,1,2,0.31,1.2,0,0.87,0,0
42,7,1,0,1,1,1,3,1,1,0,1,2,0.46,0.1,2,0.29,1,1
42,7,1,0,1,1,1,3,1,1,0,1,2,1.12,0,0,0.9,2,0
43,7,1,0,1,1,1,3,1,1,0,1,2,0.42,1.2,0,0.8,0,1
43,7,1,0,1,1,1,3,1,1,0,1,2,0.56,0.1,2,0.36,1,0
43,7,1,0,1,1,1,3,1,1,0,1,2,1.4,0,0,0.72,2,0
44,7,1,0,1,1,1,3,1,1,0,1,2,0.31,0.3,0,0.8,0,0
44,7,1,0,1,1,1,3,1,1,0,1,2,0.4,0.3,2,0.36,1,1
44,7,1,0,1,1,1,3,1,1,0,1,2,1.4,0,0,0.9,2,0
45,7,1,0,1,1,1,3,1,1,0,1,2,0.35,0.6,0,1.01,0,0
45,7,1,0,1,1,1,3,1,1,0,1,2,0.43,0.1,2,0.29,1,1
45,7,1,0,1,1,1,3,1,1,0,1,2,1.4,0,0,0.72,2,0
46,8,1,0,1,1,1,4,1,3,0,1,17,0.26,1.2,0,1.09,0,0
46,8,1,0,1,1,1,4,1,3,0,1,17,0.34,0.2,2,0.56,1,1
46,8,1,0,1,1,1,4,1,3,0,1,17,0.3,0,0,1.3,2,0
47,8,1,0,1,1,1,4,1,3,0,1,17,0.26,0.3,0,1,0,0
47,8,1,0,1,1,1,4,1,3,0,1,17,0.32,0.1,2,0.53,1,1
47,8,1,0,1,1,1,4,1,3,0,1,17,0.39,0,0,1.3,2,0
48,8,1,0,1,1,1,4,1,3,0,1,17,0.26,0.6,0,1.26,0,0
48,8,1,0,1,1,1,4,1,3,0,1,17,0.4,0.3,2,0.6,1,1
48,8,1,0,1,1,1,4,1,3,0,1,17,0.24,0,0,1.3,2,0
49,8,1,0,1,1,1,4,1,3,0,1,17,0.22,0.3,0,1,0,0
49,8,1,0,1,1,1,4,1,3,0,1,17,0.35,0.2,2,0.56,1,0
49,8,1,0,1,1,1,4,1,3,0,1,17,0.24,0,0,0.8,2,1
50,8,1,0,1,1,1,4,1,3,0,1,17,0.2,0.6,0,1.26,0,0
50,8,1,0,1,1,1,4,1,3,0,1,17,0.24,0.2,2,0.56,1,1
50,8,1,0,1,1,1,4,1,3,0,1,17,0.39,0,0,1,2,0
51,8,1,0,1,1,1,4,1,3,0,1,17,0.2,1.2,0,1.09,0,0
51,8,1,0,1,1,1,4,1,3,0,1,17,0.32,0.1,2,0.53,1,0
51,8,1,0,1,1,1,4,1,3,0,1,17,0.24,0,0,1,2,1
52,8,1,0,1,1,1,4,1,3,0,1,17,0.26,1.2,0,1,0,0
52,8,1,0,1,1,1,4,1,3,0,1,17,0.4,0.1,2,0.6,1,0
52,8,1,0,1,1,1,4,1,3,0,1,17,0.3,0,0,0.8,2,1
53,8,1,0,1,1,1,4,1,3,0,1,17,0.2,0.3,0,1,0,0
53,8,1,0,1,1,1,4,1,3,0,1,17,0.26,0.3,2,0.6,1,1
53,8,1,0,1,1,1,4,1,3,0,1,17,0.3,0,0,1,2,0
54,8,1,0,1,1,1,4,1,3,0,1,17,0.22,0.6,0,1.26,0,0
54,8,1,0,1,1,1,4,1,3,0,1,17,0.28,0.1,2,0.53,1,1
54,8,1,0,1,1,1,4,1,3,0,1,17,0.3,0,0,0.8,2,0
55,9,1,0,1,1,1,2,1,2,0,17,1,0.24,0.3,0,1.16,0,0
55,9,1,0,1,1,1,2,1,2,0,17,1,0.28,0.1,2,0.53,1,1
55,9,1,0,1,1,1,2,1,2,0,17,1,0.32,0,0,0.6,2,0
56,9,1,0,1,1,1,2,1,2,0,17,1,0.22,0.3,0,1.16,0,0
56,9,1,0,1,1,1,2,1,2,0,17,1,0.32,0.2,2,0.46,1,1
56,9,1,0,1,1,1,2,1,2,0,17,1,0.4,0,0,0.78,2,0
57,9,1,0,1,1,1,2,1,2,0,17,1,0.24,1.2,0,1.16,0,0
57,9,1,0,1,1,1,2,1,2,0,17,1,0.36,0.1,1,0.49,1,1
57,9,1,0,1,1,1,2,1,2,0,17,1,0.52,0,0,0.78,2,0
58,9,1,0,1,1,1,2,1,2,0,17,1,0.22,0.6,0,0.95,0,0
58,9,1,0,1,1,1,2,1,2,0,17,1,0.32,0.3,1,0.46,1,1
58,9,1,0,1,1,1,2,1,2,0,17,1,0.52,0,0,0.48,2,0
59,9,1,0,1,1,1,2,1,2,0,17,1,0.24,0.3,0,1.02,0,0
59,9,1,0,1,1,1,2,1,2,0,17,1,0.29,0.3,1,0.46,1,1
59,9,1,0,1,1,1,2,1,2,0,17,1,0.32,0,0,0.78,2,0
60,9,1,0,1,1,1,2,1,2,0,17,1,0.29,0.6,0,1.02,0,0
60,9,1,0,1,1,1,2,1,2,0,17,1,0.32,0.2,2,0.46,1,1
60,9,1,0,1,1,1,2,1,2,0,17,1,0.32,0,0,0.48,2,0
61,9,1,0,1,1,1,2,1,2,0,17,1,0.22,0.3,0,1.02,0,0
61,9,1,0,1,1,1,2,1,2,0,17,1,0.25,0.1,1,0.49,1,1
61,9,1,0,1,1,1,2,1,2,0,17,1,0.4,0,0,0.48,2,0
62,9,1,0,1,1,1,2,1,2,0,17,1,0.24,0.6,0,1.02,0,0
62,9,1,0,1,1,1,2,1,2,0,17,1,0.36,0.3,2,0.49,1,1
62,9,1,0,1,1,1,2,1,2,0,17,1,0.4,0,0,0.6,2,0
63,9,1,0,1,1,1,2,1,2,0,17,1,0.29,0.3,0,1.16,0,0
63,9,1,0,1,1,1,2,1,2,0,17,1,0.35,0.3,2,0.49,1,1
63,9,1,0,1,1,1,2,1,2,0,17,1,0.52,0,0,0.48,2,0
64,14,1,0,1,2,1,3,1,2,0,1,17,0.31,1.2,0,1.3,0,0
64,14,1,0,1,2,1,3,1,2,0,1,17,0.38,0.2,2,0.77,1,1
64,14,1,0,1,2,1,3,1,2,0,1,17,1,0,0,0.91,2,0
65,14,1,0,1,2,1,3,1,2,0,1,17,0.31,0.3,0,1.18,0,0
65,14,1,0,1,2,1,3,1,2,0,1,17,0.36,0.1,2,0.74,1,1
65,14,1,0,1,2,1,3,1,2,0,1,17,1.3,0,0,0.91,2,0
66,14,1,0,1,2,1,3,1,2,0,1,17,0.31,0.6,0,1.53,0,0
66,14,1,0,1,2,1,3,1,2,0,1,17,0.43,0.3,2,0.81,1,1
66,14,1,0,1,2,1,3,1,2,0,1,17,0.8,0,0,0.91,2,0
67,14,1,0,1,2,1,3,1,2,0,1,17,0.26,0.3,0,1.18,0,1
67,14,1,0,1,2,1,3,1,2,0,1,17,0.38,0.2,2,0.77,1,0
67,14,1,0,1,2,1,3,1,2,0,1,17,0.8,0,0,0.56,2,0
68,14,1,0,1,2,1,3,1,2,0,1,17,0.23,0.6,0,1.53,0,0
68,14,1,0,1,2,1,3,1,2,0,1,17,0.28,0.2,2,0.77,1,1
68,14,1,0,1,2,1,3,1,2,0,1,17,1.3,0,0,0.7,2,0
69,14,1,0,1,2,1,3,1,2,0,1,17,0.23,1.2,0,1.3,0,0
69,14,1,0,1,2,1,3,1,2,0,1,17,0.35,0.1,2,0.74,1,1
69,14,1,0,1,2,1,3,1,2,0,1,17,0.8,0,0,0.7,2,0
70,14,1,0,1,2,1,3,1,2,0,1,17,0.31,1.2,0,1.18,0,0
70,14,1,0,1,2,1,3,1,2,0,1,17,0.43,0.1,2,0.81,1,1
70,14,1,0,1,2,1,3,1,2,0,1,17,1,0,0,0.56,2,0
71,14,1,0,1,2,1,3,1,2,0,1,17,0.23,0.3,0,1.18,0,1
71,14,1,0,1,2,1,3,1,2,0,1,17,0.29,0.3,2,0.81,1,0
71,14,1,0,1,2,1,3,1,2,0,1,17,1,0,0,0.7,2,0
72,14,1,0,1,2,1,3,1,2,0,1,17,0.26,0.6,0,1.53,0,0
72,14,1,0,1,2,1,3,1,2,0,1,17,0.32,0.1,2,0.74,1,1
72,14,1,0,1,2,1,3,1,2,0,1,17,1,0,0,0.56,2,0
73,16,1,0,1,2,1,3,1,2,0,25,1,0.62,0.3,0,2.08,0,0
73,16,1,0,1,2,1,3,1,2,0,25,1,0.66,0.1,2,0.79,1,1
73,16,1,0,1,2,1,3,1,2,0,25,1,0.8,0,0,1.9,2,0
74,16,1,0,1,2,1,3,1,2,0,25,1,0.62,1.2,0,2.08,0,0
74,16,1,0,1,2,1,3,1,2,0,25,1,0.8,0.1,1,0.71,1,1
74,16,1,0,1,2,1,3,1,2,0,25,1,1.3,0,0,2.47,2,0
75,16,1,0,1,2,1,3,1,2,0,25,1,0.56,0.3,0,2.08,0,0
75,16,1,0,1,2,1,3,1,2,0,25,1,0.74,0.2,2,0.65,1,1
75,16,1,0,1,2,1,3,1,2,0,25,1,1,0,0,2.47,2,0
76,16,1,0,1,2,1,3,1,2,0,25,1,0.56,0.6,0,1.65,0,0
76,16,1,0,1,2,1,3,1,2,0,25,1,0.74,0.3,1,0.65,1,1
76,16,1,0,1,2,1,3,1,2,0,25,1,1.3,0,0,1.52,2,0
77,16,1,0,1,2,1,3,1,2,0,25,1,0.62,0.3,0,1.79,0,0
77,16,1,0,1,2,1,3,1,2,0,25,1,0.7,0.3,1,0.65,1,1
77,16,1,0,1,2,1,3,1,2,0,25,1,0.8,0,0,2.47,2,0
78,16,1,0,1,2,1,3,1,2,0,25,1,0.56,0.3,0,1.79,0,0
78,16,1,0,1,2,1,3,1,2,0,25,1,0.62,0.1,1,0.71,1,1
78,16,1,0,1,2,1,3,1,2,0,25,1,1,0,0,1.52,2,0
79,16,1,0,1,2,1,3,1,2,0,25,1,0.74,0.6,0,1.79,0,0
79,16,1,0,1,2,1,3,1,2,0,25,1,0.78,0.2,2,0.65,1,1
79,16,1,0,1,2,1,3,1,2,0,25,1,0.8,0,0,1.52,2,0
80,16,1,0,1,2,1,3,1,2,0,25,1,0.74,0.3,0,2.08,0,0
80,16,1,0,1,2,1,3,1,2,0,25,1,0.8,0.3,2,0.71,1,1
80,16,1,0,1,2,1,3,1,2,0,25,1,1.3,0,0,1.52,2,0
81,16,1,0,1,2,1,3,1,2,0,25,1,0.62,0.6,0,1.79,0,0
81,16,1,0,1,2,1,3,1,2,0,25,1,0.8,0.3,2,0.71,1,1
81,16,1,0,1,2,1,3,1,2,0,25,1,1,0,0,1.9,2,0
82,17,1,0,2,1,0,1,1,2,0,1,2,0.23,0.3,0,1.32,0,0
82,17,1,0,2,1,0,1,1,2,0,1,2,0.26,0.1,2,0.61,1,1
82,17,1,0,2,1,0,1,1,2,0,1,2,0.2,0,0,0.9,2,0
83,17,1,0,2,1,0,1,1,2,0,1,2,0.23,1.2,0,1.32,0,0
83,17,1,0,2,1,0,1,1,2,0,1,2,0.31,0.1,1,0.57,1,1
83,17,1,0,2,1,0,1,1,2,0,1,2,0.32,0,0,1.17,2,0
84,17,1,0,2,1,0,1,1,2,0,1,2,0.21,0.3,0,1.32,0,0
84,17,1,0,2,1,0,1,1,2,0,1,2,0.28,0.2,2,0.54,1,1
84,17,1,0,2,1,0,1,1,2,0,1,2,0.25,0,0,1.17,2,0
85,17,1,0,2,1,0,1,1,2,0,1,2,0.21,0.6,0,1.02,0,0
85,17,1,0,2,1,0,1,1,2,0,1,2,0.28,0.3,1,0.54,1,1
85,17,1,0,2,1,0,1,1,2,0,1,2,0.32,0,0,0.72,2,0
86,17,1,0,2,1,0,1,1,2,0,1,2,0.23,0.3,0,1.12,0,0
86,17,1,0,2,1,0,1,1,2,0,1,2,0.28,0.3,1,0.54,1,1
86,17,1,0,2,1,0,1,1,2,0,1,2,0.2,0,0,1.17,2,0
87,17,1,0,2,1,0,1,1,2,0,1,2,0.21,0.3,0,1.12,0,0
87,17,1,0,2,1,0,1,1,2,0,1,2,0.24,0.1,1,0.57,1,1
87,17,1,0,2,1,0,1,1,2,0,1,2,0.25,0,0,0.72,2,0
88,17,1,0,2,1,0,1,1,2,0,1,2,0.28,0.6,0,1.12,0,0
88,17,1,0,2,1,0,1,1,2,0,1,2,0.3,0.2,2,0.54,1,1
88,17,1,0,2,1,0,1,1,2,0,1,2,0.2,0,0,0.72,2,0
89,17,1,0,2,1,0,1,1,2,0,1,2,0.28,0.3,0,1.32,0,0
89,17,1,0,2,1,0,1,1,2,0,1,2,0.31,0.3,2,0.57,1,1
89,17,1,0,2,1,0,1,1,2,0,1,2,0.32,0,0,0.72,2,0
90,17,1,0,2,1,0,1,1,2,0,1,2,0.23,0.6,0,1.12,0,0
90,17,1,0,2,1,0,1,1,2,0,1,2,0.31,0.3,2,0.57,1,1
90,17,1,0,2,1,0,1,1,2,0,1,2,0.25,0,0,0.9,2,0
91,18,1,0,2,1,0,3,1,3,0,2,25,0.24,0.3,0,1.86,0,0
91,18,1,0,2,1,0,3,1,3,0,2,25,0.27,0.1,2,0.95,1,1
91,18,1,0,2,1,0,3,1,3,0,2,25,0.32,0,0,1.1,2,0
92,18,1,0,2,1,0,3,1,3,0,2,25,0.24,1.2,0,1.86,0,0
92,18,1,0,2,1,0,3,1,3,0,2,25,0.32,0.1,1,0.89,1,1
92,18,1,0,2,1,0,3,1,3,0,2,25,0.52,0,0,1.43,2,0
93,18,1,0,2,1,0,3,1,3,0,2,25,0.22,0.3,0,1.86,0,0
93,18,1,0,2,1,0,3,1,3,0,2,25,0.3,0.2,2,0.84,1,1
93,18,1,0,2,1,0,3,1,3,0,2,25,0.4,0,0,1.43,2,0
94,18,1,0,2,1,0,3,1,3,0,2,25,0.22,0.6,0,1.54,0,0
94,18,1,0,2,1,0,3,1,3,0,2,25,0.3,0.3,1,0.84,1,1
94,18,1,0,2,1,0,3,1,3,0,2,25,0.52,0,0,0.88,2,0
95,18,1,0,2,1,0,3,1,3,0,2,25,0.24,0.3,0,1.65,0,0
95,18,1,0,2,1,0,3,1,3,0,2,25,0.28,0.3,1,0.84,1,1
95,18,1,0,2,1,0,3,1,3,0,2,25,0.32,0,0,1.43,2,0
96,18,1,0,2,1,0,3,1,3,0,2,25,0.22,0.3,0,1.65,0,0
96,18,1,0,2,1,0,3,1,3,0,2,25,0.25,0.1,1,0.89,1,1
96,18,1,0,2,1,0,3,1,3,0,2,25,0.4,0,0,0.88,2,0
97,18,1,0,2,1,0,3,1,3,0,2,25,0.29,0.6,0,1.65,0,0
97,18,1,0,2,1,0,3,1,3,0,2,25,0.3,0.2,2,0.84,1,1
97,18,1,0,2,1,0,3,1,3,0,2,25,0.32,0,0,0.88,2,0
98,18,1,0,2,1,0,3,1,3,0,2,25,0.29,0.3,0,1.86,0,0
98,18,1,0,2,1,0,3,1,3,0,2,25,0.32,0.3,2,0.89,1,1
98,18,1,0,2,1,0,3,1,3,0,2,25,0.52,0,0,0.88,2,0
99,18,1,0,2,1,0,3,1,3,0,2,25,0.24,0.6,0,1.65,0,0
99,18,1,0,2,1,0,3,1,3,0,2,25,0.32,0.3,2,0.89,1,1
99,18,1,0,2,1,0,3,1,3,0,2,25,0.4,0,0,1.1,2,0
100,19,1,0,2,1,1,1,0,1,0,1,17,0.26,1.2,0,2.12,0,0
100,19,1,0,2,1,1,1,0,1,0,1,17,0.27,0.3,1,1.21,1,0
100,19,1,0,2,1,1,1,0,1,0,1,17,0.1,0,0,12,2,1
101,19,1,0,2,1,1,1,0,1,0,1,17,0.2,0.6,0,1.77,0,1
101,19,1,0,2,1,1,1,0,1,0,1,17,0.23,0.1,2,1.28,1,0
101,19,1,0,2,1,1,1,0,1,0,1,17,0.13,0,0,15.6,2,0
102,19,1,0,2,1,1,1,0,1,0,1,17,0.2,1.2,0,1.59,0,0
102,19,1,0,2,1,1,1,0,1,0,1,17,0.22,0.3,2,1.24,1,0
102,19,1,0,2,1,1,1,0,1,0,1,17,0.08,0,0,15.6,2,1
103,19,1,0,2,1,1,1,0,1,0,1,17,0.2,1.2,0,2.12,0,0
103,19,1,0,2,1,1,1,0,1,0,1,17,0.23,0.2,1,1.28,1,0
103,19,1,0,2,1,1,1,0,1,0,1,17,0.08,0,0,9.6,2,1
104,19,1,0,2,1,1,1,0,1,0,1,17,0.22,1.2,0,1.77,0,1
104,19,1,0,2,1,1,1,0,1,0,1,17,0.24,0.3,2,1.28,1,0
104,19,1,0,2,1,1,1,0,1,0,1,17,0.13,0,0,9.6,2,0
105,19,1,0,2,1,1,1,0,1,0,1,17,0.22,0.6,0,1.59,0,1
105,19,1,0,2,1,1,1,0,1,0,1,17,0.24,0.2,1,1.28,1,0
105,19,1,0,2,1,1,1,0,1,0,1,17,0.1,0,0,15.6,2,0
106,19,1,0,2,1,1,1,0,1,0,1,17,0.26,0.6,0,1.59,0,0
106,19,1,0,2,1,1,1,0,1,0,1,17,0.28,0.1,1,1.24,1,1
106,19,1,0,2,1,1,1,0,1,0,1,17,0.08,0,0,12,2,0
107,19,1,0,2,1,1,1,0,1,0,1,17,0.22,1.2,0,1.59,0,0
107,19,1,0,2,1,1,1,0,1,0,1,17,0.25,0.2,2,1.21,1,1
