,age,descanton,firstclass,income,luggage,male,oricanton,purpose,seasonalticket,seats,tickettype,whopaid
69,0,0,0,0,0,0,0,1,1,0,0,0
70,0,0,0,0,0,0,0,1,0,1,0,0
71,0,0,0,0,0,0,0,1,0,0,1,0
72,0,0,0,0,0,0,0,1,0,0,0,1
73,0,0,0,0,0,0,0,0,1,1,0,0
74,0,0,0,0,0,0,0,0,1,0,1,0
75,0,0,0,0,0,0,0,0,1,0,0,1
76,0,0,0,0,0,0,0,0,0,1,1,0
77,0,0,0,0,0,0,0,0,0,1,0,1
78,0,0,0,0,0,0,0,0,0,0,1,1
79,1,1,1,0,0,0,0,0,0,0,0,0
80,1,1,0,1,0,0,0,0,0,0,0,0
81,1,1,0,0,1,0,0,0,0,0,0,0
82,1,1,0,0,0,1,0,0,0,0,0,0
83,1,1,0,0,0,0,1,0,0,0,0,0
84,1,1,0,0,0,0,0,1,0,0,0,0
85,1,1,0,0,0,0,0,0,1,0,0,0
86,1,1,0,0,0,0,0,0,0,1,0,0
87,1,1,0,0,0,0,0,0,0,0,1,0
88,1,1,0,0,0,0,0,0,0,0,0,1
89,1,0,1,1,0,0,0,0,0,0,0,0
90,1,0,1,0,1,0,0,0,0,0,0,0
91,1,0,1,0,0,1,0,0,0,0,0,0
92,1,0,1,0,0,0,1,0,0,0,0,0
93,1,0,1,0,0,0,0,1,0,0,0,0
94,1,0,1,0,0,0,0,0,1,0,0,0
95,1,0,1,0,0,0,0,0,0,1,0,0
96,1,0,1,0,0,0,0,0,0,0,1,0
97,1,0,1,0,0,0,0,0,0,0,0,1
98,1,0,0,1,1,0,0,0,0,0,0,0
99,1,0,0,1,0,1,0,0,0,0,0,0
100,1,0,0,1,0,0,1,0,0,0,0,0
101,1,0,0,1,0,0,0,1,0,0,0,0
102,1,0,0,1,0,0,0,0,1,0,0,0
103,1,0,0,1,0,0,0,0,0,1,0,0
104,1,0,0,1,0,0,0,0,0,0,1,0
105,1,0,0,1,0,0,0,0,0,0,0,1
106,1,0,0,0,1,1,0,0,0,0,0,0
107,1,0,0,0,1,0,1,0,0,0,0,0
108,1,0,0,0,1,0,0,1,0,0,0,0
109,1,0,0,0,1,0,0,0,1,0,0,0
110,1,0,0,0,1,0,0,0,0,1,0,0
111,1,0,0,0,1,0,0,0,0,0,1,0
112,1,0,0,0,1,0,0,0,0,0,0,1
113,1,0,0,0,0,1,1,0,0,0,0,0
114,1,0,0,0,0,1,0,1,0,0,0,0
115,1,0,0,0,0,1,0,0,1,0,0,0
116,1,0,0,0,0,1,0,0,0,1,0,0
117,1,0,0,0,0,1,0,0,0,0,1,0
118,1,0,0,0,0,1,0,0,0,0,0,1
119,1,0,0,0,0,0,1,1,0,0,0,0
120,1,0,0,0,0,0,1,0,1,0,0,0
121,1,0,0,0,0,0,1,0,0,1,0,0
122,1,0,0,0,0,0,1,0,0,0,1,0
123,1,0,0,0,0,0,1,0,0,0,0,1
124,1,0,0,0,0,0,0,1,1,0,0,0
125,1,0,0,0,0,0,0,1,0,1,0,0
126,1,0,0,0,0,0,0,1,0,0,1,0
127,1,0,0,0,0,0,0,1,0,0,0,1
128,1,0,0,0,0,0,0,0,1,1,0,0
129,1,0,0,0,0,0,0,0,1,0,1,0
130,1,0,0,0,0,0,0,0,1,0,0,1
131,1,0,0,0,0,0,0,0,0,1,1,0
132,1,0,0,0,0,0,0,0,0,1,0,1
133,1,0,0,0,0,0,0,0,0,0,1,1
134,0,1,1,1,0,0,0,0,0,0,0,0
135,0,1,1,0,1,0,0,0,0,0,0,0
136,0,1,1,0,0,1,0,0,0,0,0,0
137,0,1,1,0,0,0,1,0,0,0,0,0
138,0,1,1,0,0,0,0,1,0,0,0,0
139,0,1,1,0,0,0,0,0,1,0,0,0
140,0,1,1,0,0,0,0,0,0,1,0,0
141,0,1,1,0,0,0,0,0,0,0,1,0
142,0,1,1,0,0,0,0,0,0,0,0,1
143,0,1,0,1,1,0,0,0,0,0,0,0
144,0,1,0,1,0,1,0,0,0,0,0,0
145,0,1,0,1,0,0,1,0,0,0,0,0
146,0,1,0,1,0,0,0,1,0,0,0,0
147,0,1,0,1,0,0,0,0,1,0,0,0
148,0,1,0,1,0,0,0,0,0,1,0,0
149,0,1,0,1,0,0,0,0,0,0,1,0
150,0,1,0,1,0,0,0,0,0,0,0,1
151,0,1,0,0,1,1,0,0,0,0,0,0
152,0,1,0,0,1,0,1,0,0,0,0,0
153,0,1,0,0,1,0,0,1,0,0,0,0
154,0,1,0,0,1,0,0,0,1,0,0,0
155,0,1,0,0,1,0,0,0,0,1,0,0
156,0,1,0,0,1,0,0,0,0,0,1,0
157,0,1,0,0,1,0,0,0,0,0,0,1
158,0,1,0,0,0,1,1,0,0,0,0,0
159,0,1,0,0,0,1,0,1,0,0,0,0
160,0,1,0,0,0,1,0,0,1,0,0,0
161,0,1,0,0,0,1,0,0,0,1,0,0
162,0,1,0,0,0,1,0,0,0,0,1,0
163,0,1,0,0,0,1,0,0,0,0,0,1
164,0,1,0,0,0,0,1,1,0,0,0,0
165,0,1,0,0,0,0,1,0,1,0,0,0
166,0,1,0,0,0,0,1,0,0,1,0,0
167,0,1,0,0,0,0,1,0,0,0,1,0
168,0,1,0,0,0,0,1,0,0,0,0,1
169,0,1,0,0,0,0,0,1,1,0,0,0
170,0,1,0,0,0,0,0,1,0,1,0,0
171,0,1,0,0,0,0,0,1,0,0,1,0
172,0,1,0,0,0,0,0,1,0,0,0,1
173,0,1,0,0,0,0,0,0,1,1,0,0
174,0,1,0,0,0,0,0,0,1,0,1,0
175,0,1,0,0,0,0,0,0,1,0,0,1
176,0,1,0,0,0,0,0,0,0,1,1,0
177,0,1,0,0,0,0,0,0,0,1,0,1
178,0,1,0,0,0,0,0,0,0,0,1,1
179,0,0,1,1,1,0,0,0,0,0,0,0
180,0,0,1,1,0,1,0,0,0,0,0,0
181,0,0,1,1,0,0,1,0,0,0,0,0
182,0,0,1,1,0,0,0,1,0,0,0,0
183,0,0,1,1,0,0,0,0,1,0,0,0
184,0,0,1,1,0,0,0,0,0,1,0,0
185,0,0,1,1,0,0,0,0,0,0,1,0
186,0,0,1,1,0,0,0,0,0,0,0,1
187,0,0,1,0,1,1,0,0,0,0,0,0
188,0,0,1,0,1,0,1,0,0,0,0,0
189,0,0,1,0,1,0,0,1,0,0,0,0
190,0,0,1,0,1,0,0,0,1,0,0,0
191,0,0,1,0,1,0,0,0,0,1,0,0
192,0,0,1,0,1,0,0,0,0,0,1,0
193,0,0,1,0,1,0,0,0,0,0,0,1
194,0,0,1,0,0,1,1,0,0,0,0,0
195,0,0,1,0,0,1,0,1,0,0,0,0
196,0,0,1,0,0,1,0,0,1,0,0,0
197,0,0,1,0,0,1,0,0,0,1,0,0
198,0,0,1,0,0,1,0,0,0,0,1,0
199,0,0,1,0,0,1,0,0,0,0,0,1
200,0,0,1,0,0,0,1,1,0,0,0,0
201,0,0,1,0,0,0,1,0,1,0,0,0
202,0,0,1,0,0,0,1,0,0,1,0,0
203,0,0,1,0,0,0,1,0,0,0,1,0
204,0,0,1,0,0,0,1,0,0,0,0,1
205,0,0,1,0,0,0,0,1,1,0,0,0
206,0,0,1,0,0,0,0,1,0,1,0,0
207,0,0,1,0,0,0,0,1,0,0,1,0
208,0,0,1,0,0,0,0,1,0,0,0,1
209,0,0,1,0,0,0,0,0,1,1,0,0
210,0,0,1,0,0,0,0,0,1,0,1,0
211,0,0,1,0,0,0,0,0,1,0,0,1
212,0,0,1,0,0,0,0,0,0,1,1,0
213,0,0,1,0,0,0,0,0,0,1,0,1
214,0,0,1,0,0,0,0,0,0,0,1,1
215,0,0,0,1,1,1,0,0,0,0,0,0
216,0,0,0,1,1,0,1,0,0,0,0,0
217,0,0,0,1,1,0,0,1,0,0,0,0
218,0,0,0,1,1,0,0,0,1,0,0,0
219,0,0,0,1,1,0,0,0,0,1,0,0
220,0,0,0,1,1,0,0,0,0,0,1,0
221,0,0,0,1,1,0,0,0,0,0,0,1
222,0,0,0,1,0,1,1,0,0,0,0,0
223,0,0,0,1,0,1,0,1,0,0,0,0
224,0,0,0,1,0,1,0,0,1,0,0,0
225,0,0,0,1,0,1,0,0,0,1,0,0
226,0,0,0,1,0,1,0,0,0,0,1,0
227,0,0,0,1,0,1,0,0,0,0,0,1
228,0,0,0,1,0,0,1,1,0,0,0,0
229,0,0,0,1,0,0,1,0,1,0,0,0
230,0,0,0,1,0,0,1,0,0,1,0,0
231,0,0,0,1,0,0,1,0,0,0,1,0
232,0,0,0,1,0,0,1,0,0,0,0,1
233,0,0,0,1,0,0,0,1,1,0,0,0
234,0,0,0,1,0,0,0,1,0,1,0,0
235,0,0,0,1,0,0,0,1,0,0,1,0
236,0,0,0,1,0,0,0,1,0,0,0,1
237,0,0,0,1,0,0,0,0,1,1,0,0
238,0,0,0,1,0,0,0,0,1,0,1,0
239,0,0,0,1,0,0,0,0,1,0,0,1
240,0,0,0,1,0,0,0,0,0,1,1,0
241,0,0,0,1,0,0,0,0,0,1,0,1
242,0,0,0,1,0,0,0,0,0,0,1,1
243,0,0,0,0,1,1,1,0,0,0,0,0
244,0,0,0,0,1,1,0,1,0,0,0,0
245,0,0,0,0,1,1,0,0,1,0,0,0
246,0,0,0,0,1,1,0,0,0,1,0,0
247,0,0,0,0,1,1,0,0,0,0,1,0
248,0,0,0,0,1,1,0,0,0,0,0,1
249,0,0,0,0,1,0,1,1,0,0,0,0
250,0,0,0,0,1,0,1,0,1,0,0,0
251,0,0,0,0,1,0,1,0,0,1,0,0
252,0,0,0,0,1,0,1,0,0,0,1,0
253,0,0,0,0,1,0,1,0,0,0,0,1
254,0,0,0,0,1,0,0,1,1,0,0,0
255,0,0,0,0,1,0,0,1,0,1,0,0
256,0,0,0,0,1,0,0,1,0,0,1,0
257,0,0,0,0,1,0,0,1,0,0,0,1
258,0,0,0,0,1,0,0,0,1,1,0,0
259,0,0,0,0,1,0,0,0,1,0,1,0
260,0,0,0,0,1,0,0,0,1,0,0,1
261,0,0,0,0,1,0,0,0,0,1,1,0
262,0,0,0,0,1,0,0,0,0,1,0,1
263,0,0,0,0,1,0,0,0,0,0,1,1
264,0,0,0,0,0,1,1,1,0,0,0,0
265,0,0,0,0,0,1,1,0,1,0,0,0
266,0,0,0,0,0,1,1,0,0,1,0,0
267,0,0,0,0,0,1,1,0,0,0,1,0
268,0,0,0,0,0,1,1,0,0,0,0,1
269,0,0,0,0,0,1,0,1,1,0,0,0
270,0,0,0,0,0,1,0,1,0,1,0,0
271,0,0,0,0,0,1,0,1,0,0,1,0
272,0,0,0,0,0,1,0,1,0,0,0,1
273,0,0,0,0,0,1,0,0,1,1,0,0
274,0,0,0,0,0,1,0,0,1,0,1,0
275,0,0,0,0,0,1,0,0,1,0,0,1
276,0,0,0,0,0,1,0,0,0,1,1,0
277,0,0,0,0,0,1,0,0,0,1,0,1
278,0,0,0,0,0,1,0,0,0,0,1,1
279,0,0,0,0,0,0,1,1,1,0,0,0
280,0,0,0,0,0,0,1,1,0,1,0,0
281,0,0,0,0,0,0,1,1,0,0,1,0
282,0,0,0,0,0,0,1,1,0,0,0,1
283,0,0,0,0,0,0,1,0,1,1,0,0
284,0,0,0,0,0,0,1,0,1,0,1,0
285,0,0,0,0,0,0,1,0,1,0,0,1
286,0,0,0,0,0,0,1,0,0,1,1,0
287,0,0,0,0,0,0,1,0,0,1,0,1
288,0,0,0,0,0,0,1,0,0,0,1,1
289,0,0,0,0,0,0,0,1,1,1,0,0
290,0,0,0,0,0,0,0,1,1,0,1,0
291,0,0,0,0,0,0,0,1,1,0,0,1
292,0,0,0,0,0,0,0,1,0,1,1,0
293,0,0,0,0,0,0,0,1,0,1,0,1
294,0,0,0,0,0,0,0,1,0,0,1,1
295,0,0,0,0,0,0,0,0,1,1,1,0
296,0,0,0,0,0,0,0,0,1,1,0,1
297,0,0,0,0,0,0,0,0,1,0,1,1
298,0,0,0,0,0,0,0,0,0,1,1,1
299,1,1,1,1,0,0,0,0,0,0,0,0
300,1,1,1,0,1,0,0,0,0,0,0,0
301,1,1,1,0,0,1,0,0,0,0,0,0
302,1,1,1,0,0,0,1,0,0,0,0,0
303,1,1,1,0,0,0,0,1,0,0,0,0
304,1,1,1,0,0,0,0,0,1,0,0,0
305,1,1,1,0,0,0,0,0,0,1,0,0
306,1,1,1,0,0,0,0,0,0,0,1,0
307,1,1,1,0,0,0,0,0,0,0,0,1
308,1,1,0,1,1,0,0,0,0,0,0,0
309,1,1,0,1,0,1,0,0,0,0,0,0
310,1,1,0,1,0,0,1,0,0,0,0,0
311,1,1,0,1,0,0,0,1,0,0,0,0
312,1,1,0,1,0,0,0,0,1,0,0,0
313,1,1,0,1,0,0,0,0,0,1,0,0
314,1,1,0,1,0,0,0,0,0,0,1,0
315,1,1,0,1,0,0,0,0,0,0,0,1
316,1,1,0,0,1,1,0,0,0,0,0,0
317,1,1,0,0,1,0,1,0,0,0,0,0
318,1,1,0,0,1,0,0,1,0,0,0,0
319,1,1,0,0,1,0,0,0,1,0,0,0
320,1,1,0,0,1,0,0,0,0,1,0,0
321,1,1,0,0,1,0,0,0,0,0,1,0
322,1,1,0,0,1,0,0,0,0,0,0,1
323,1,1,0,0,0,1,1,0,0,0,0,0
324,1,1,0,0,0,1,0,1,0,0,0,0
325,1,1,0,0,0,1,0,0,1,0,0,0
326,1,1,0,0,0,1,0,0,0,1,0,0
327,1,1,0,0,0,1,0,0,0,0,1,0
328,1,1,0,0,0,1,0,0,0,0,0,1
329,1,1,0,0,0,0,1,1,0,0,0,0
330,1,1,0,0,0,0,1,0,1,0,0,0
331,1,1,0,0,0,0,1,0,0,1,0,0
332,1,1,0,0,0,0,1,0,0,0,1,0
333,1,1,0,0,0,0,1,0,0,0,0,1
334,1,1,0,0,0,0,0,1,1,0,0,0
335,1,1,0,0,0,0,0,1,0,1,0,0
336,1,1,0,0,0,0,0,1,0,0,1,0
337,1,1,0,0,0,0,0,1,0,0,0,1
338,1,1,0,0,0,0,0,0,1,1,0,0
339,1,1,0,0,0,0,0,0,1,0,1,0
340,1,1,0,0,0,0,0,0,1,0,0,1
341,1,1,0,0,0,0,0,0,0,1,1,0
342,1,1,0,0,0,0,0,0,0,1,0,1
343,1,1,0,0,0,0,0,0,0,0,1,1
344,1,0,1,1,1,0,0,0,0,0,0,0
345,1,0,1,1,0,1,0,0,0,0,0,0
346,1,0,1,1,0,0,1,0,0,0,0,0
347,1,0,1,1,0,0,0,1,0,0,0,0
348,1,0,1,1,0,0,0,0,1,0,0,0
349,1,0,1,1,0,0,0,0,0,1,0,0
350,1,0,1,1,0,0,0,0,0,0,1,0
351,1,0,1,1,0,0,0,0,0,0,0,1
352,1,0,1,0,1,1,0,0,0,0,0,0
353,1,0,1,0,1,0,1,0,0,0,0,0
354,1,0,1,0,1,0,0,1,0,0,0,0
355,1,0,1,0,1,0,0,0,1,0,0,0
356,1,0,1,0,1,0,0,0,0,1,0,0
357,1,0,1,0,1,0,0,0,0,0,1,0
358,1,0,1,0,1,0,0,0,0,0,0,1
359,1,0,1,0,0,1,1,0,0,0,0,0
360,1,0,1,0,0,1,0,1,0,0,0,0
361,1,0,1,0,0,1,0,0,1,0,0,0
362,1,0,1,0,0,1,0,0,0,1,0,0
363,1,0,1,0,0,1,0,0,0,0,1,0
364,1,0,1,0,0,1,0,0,0,0,0,1
365,1,0,1,0,0,0,1,1,0,0,0,0
366,1,0,1,0,0,0,1,0,1,0,0,0
367,1,0,1,0,0,0,1,0,0,1,0,0
368,1,0,1,0,0,0,1,0,0,0,1,0
369,1,0,1,0,0,0,1,0,0,0,0,1
370,1,0,1,0,0,0,0,1,1,0,0,0
371,1,0,1,0,0,0,0,1,0,1,0,0
372,1,0,1,0,0,0,0,1,0,0,1,0
373,1,0,1,0,0,0,0,1,0,0,0,1
374,1,0,1,0,0,0,0,0,1,1,0,0
375,1,0,1,0,0,0,0,0,1,0,1,0
376,1,0,1,0,0,0,0,0,1,0,0,1
377,1,0,1,0,0,0,0,0,0,1,1,0
378,1,0,1,0,0,0,0,0,0,1,0,1
379,1,0,1,0,0,0,0,0,0,0,1,1
380,1,0,0,1,1,1,0,0,0,0,0,0
381,1,0,0,1,1,0,1,0,0,0,0,0
382,1,0,0,1,1,0,0,1,0,0,0,0
383,1,0,0,1,1,0,0,0,1,0,0,0
384,1,0,0,1,1,0,0,0,0,1,0,0
385,1,0,0,1,1,0,0,0,0,0,1,0
386,1,0,0,1,1,0,0,0,0,0,0,1
387,1,0,0,1,0,1,1,0,0,0,0,0
388,1,0,0,1,0,1,0,1,0,0,0,0
389,1,0,0,1,0,1,0,0,1,0,0,0
390,1,0,0,1,0,1,0,0,0,1,0,0
391,1,0,0,1,0,1,0,0,0,0,1,0
392,1,0,0,1,0,1,0,0,0,0,0,1
393,1,0,0,1,0,0,1,1,0,0,0,0
394,1,0,0,1,0,0,1,0,1,0,0,0
395,1,0,0,1,0,0,1,0,0,1,0,0
396,1,0,0,1,0,0,1,0,0,0,1,0
397,1,0,0,1,0,0,1,0,0,0,0,1
398,1,0,0,1,0,0,0,1,1,0,0,0
399,1,0,0,1,0,0,0,1,0,1,0,0
400,1,0,0,1,0,0,0,1,0,0,1,0
401,1,0,0,1,0,0,0,1,0,0,0,1
402,1,0,0,1,0,0,0,0,1,1,0,0
403,1,0,0,1,0,0,0,0,1,0,1,0
404,1,0,0,1,0,0,0,0,1,0,0,1
405,1,0,0,1,0,0,0,0,0,1,1,0
406,1,0,0,1,0,0,0,0,0,1,0,1
407,1,0,0,1,0,0,0,0,0,0,1,1
408,1,0,0,0,1,1,1,0,0,0,0,0
409,1,0,0,0,1,1,0,1,0,0,0,0
410,1,0,0,0,1,1,0,0,1,0,0,0
411,1,0,0,0,1,1,0,0,0,1,0,0
412,1,0,0,0,1,1,0,0,0,0,1,0
413,1,0,0,0,1,1,0,0,0,0,0,1
414,1,0,0,0,1,0,1,1,0,0,0,0
415,1,0,0,0,1,0,1,0,1,0,0,0
416,1,0,0,0,1,0,1,0,0,1,0,0
417,1,0,0,0,1,0,1,0,0,0,1,0
418,1,0,0,0,1,0,1,0,0,0,0,1
419,1,0,0,0,1,0,0,1,1,0,0,0
420,1,0,0,0,1,0,0,1,0,1,0,0
421,1,0,0,0,1,0,0,1,0,0,1,0
422,1,0,0,0,1,0,0,1,0,0,0,1
423,1,0,0,0,1,0,0,0,1,1,0,0
424,1,0,0,0,1,0,0,0,1,0,1,0
425,1,0,0,0,1,0,0,0,1,0,0,1
426,1,0,0,0,1,0,0,0,0,1,1,0
427,1,0,0,0,1,0,0,0,0,1,0,1
428,1,0,0,0,1,0,0,0,0,0,1,1
429,1,0,0,0,0,1,1,1,0,0,0,0
430,1,0,0,0,0,1,1,0,1,0,0,0
431,1,0,0,0,0,1,1,0,0,1,0,0
432,1,0,0,0,0,1,1,0,0,0,1,0
433,1,0,0,0,0,1,1,0,0,0,0,1
434,1,0,0,0,0,1,0,1,1,0,0,0
435,1,0,0,0,0,1,0,1,0,1,0,0
436,1,0,0,0,0,1,0,1,0,0,1,0
437,1,0,0,0,0,1,0,1,0,0,0,1
438,1,0,0,0,0,1,0,0,1,1,0,0
439,1,0,0,0,0,1,0,0,1,0,1,0
440,1,0,0,0,0,1,0,0,1,0,0,1
441,1,0,0,0,0,1,0,0,0,1,1,0
442,1,0,0,0,0,1,0,0,0,1,0,1
443,1,0,0,0,0,1,0,0,0,0,1,1
444,1,0,0,0,0,0,1,1,1,0,0,0
445,1,0,0,0,0,0,1,1,0,1,0,0
446,1,0,0,0,0,0,1,1,0,0,1,0
447,1,0,0,0,0,0,1,1,0,0,0,1
448,1,0,0,0,0,0,1,0,1,1,0,0
449,1,0,0,0,0,0,1,0,1,0,1,0
450,1,0,0,0,0,0,1,0,1,0,0,1
451,1,0,0,0,0,0,1,0,0,1,1,0
452,1,0,0,0,0,0,1,0,0,1,0,1
453,1,0,0,0,0,0,1,0,0,0,1,1
454,1,0,0,0,0,0,0,1,1,1,0,0
455,1,0,0,0,0,0,0,1,1,0,1,0
456,1,0,0,0,0,0,0,1,1,0,0,1
457,1,0,0,0,0,0,0,1,0,1,1,0
458,1,0,0,0,0,0,0,1,0,1,0,1
459,1,0,0,0,0,0,0,1,0,0,1,1
460,1,0,0,0,0,0,0,0,1,1,1,0
461,1,0,0,0,0,0,0,0,1,1,0,1
462,1,0,0,0,0,0,0,0,1,0,1,1
463,1,0,0,0,0,0,0,0,0,1,1,1
464,0,1,1,1,1,0,0,0,0,0,0,0
465,0,1,1,1,0,1,0,0,0,0,0,0
466,0,1,1,1,0,0,1,0,0,0,0,0
467,0,1,1,1,0,0,0,1,0,0,0,0
468,0,1,1,1,0,0,0,0,1,0,0,0
469,0,1,1,1,0,0,0,0,0,1,0,0
470,0,1,1,1,0,0,0,0,0,0,1,0
471,0,1,1,1,0,0,0,0,0,0,0,1
472,0,1,1,0,1,1,0,0,0,0,0,0
473,0,1,1,0,1,0,1,0,0,0,0,0
474,0,1,1,0,1,0,0,1,0,0,0,0
475,0,1,1,0,1,0,0,0,1,0,0,0
476,0,1,1,0,1,0,0,0,0,1,0,0
477,0,1,1,0,1,0,0,0,0,0,1,0
478,0,1,1,0,1,0,0,0,0,0,0,1
479,0,1,1,0,0,1,1,0,0,0,0,0
480,0,1,1,0,0,1,0,1,0,0,0,0
481,0,1,1,0,0,1,0,0,1,0,0,0
482,0,1,1,0,0,1,0,0,0,1,0,0
483,0,1,1,0,0,1,0,0,0,0,1,0
484,0,1,1,0,0,1,0,0,0,0,0,1
485,0,1,1,0,0,0,1,1,0,0,0,0
486,0,1,1,0,0,0,1,0,1,0,0,0
487,0,1,1,0,0,0,1,0,0,1,0,0
488,0,1,1,0,0,0,1,0,0,0,1,0
489,0,1,1,0,0,0,1,0,0,0,0,1
490,0,1,1,0,0,0,0,1,1,0,0,0
491,0,1,1,0,0,0,0,1,0,1,0,0
492,0,1,1,0,0,0,0,1,0,0,1,0
493,0,1,1,0,0,0,0,1,0,0,0,1
494,0,1,1,0,0,0,0,0,1,1,0,0
495,0,1,1,0,0,0,0,0,1,0,1,0
496,0,1,1,0,0,0,0,0,1,0,0,1
497,0,1,1,0,0,0,0,0,0,1,1,0
498,0,1,1,0,0,0,0,0,0,1,0,1
499,0,1,1,0,0,0,0,0,0,0,1,1
500,0,1,0,1,1,1,0,0,0,0,0,0
501,0,1,0,1,1,0,1,0,0,0,0,0
502,0,1,0,1,1,0,0,1,0,0,0,0
503,0,1,0,1,1,0,0,0,1,0,0,0
504,0,1,0,1,1,0,0,0,0,1,0,0
505,0,1,0,1,1,0,0,0,0,0,1,0
506,0,1,0,1,1,0,0,0,0,0,0,1
507,0,1,0,1,0,1,1,0,0,0,0,0
508,0,1,0,1,0,1,0,1,0,0,0,0
509,0,1,0,1,0,1,0,0,1,0,0,0
510,0,1,0,1,0,1,0,0,0,1,0,0
511,0,1,0,1,0,1,0,0,0,0,1,0
512,0,1,0,1,0,1,0,0,0,0,0,1
513,0,1,0,1,0,0,1,1,0,0,0,0
514,0,1,0,1,0,0,1,0,1,0,0,0
515,0,1,0,1,0,0,1,0,0,1,0,0
516,0,1,0,1,0,0,1,0,0,0,1,0
517,0,1,0,1,0,0,1,0,0,0,0,1
518,0,1,0,1,0,0,0,1,1,0,0,0
519,0,1,0,1,0,0,0,1,0,1,0,0
520,0,1,0,1,0,0,0,1,0,0,1,0
521,0,1,0,1,0,0,0,1,0,0,0,1
522,0,1,0,1,0,0,0,0,1,1,0,0
523,0,1,0,1,0,0,0,0,1,0,1,0
524,0,1,0,1,0,0,0,0,1,0,0,1
525,0,1,0,1,0,0,0,0,0,1,1,0
526,0,1,0,1,0,0,0,0,0,1,0,1
527,0,1,0,1,0,0,0,0,0,0,1,1
528,0,1,0,0,1,1,1,0,0,0,0,0
529,0,1,0,0,1,1,0,1,0,0,0,0
530,0,1,0,0,1,1,0,0,1,0,0,0
531,0,1,0,0,1,1,0,0,0,1,0,0
532,0,1,0,0,1,1,0,0,0,0,1,0
533,0,1,0,0,1,1,0,0,0,0,0,1
