chid,alt,match,x1,x2,x3,s11,s12,s13,s21,s22,s23,o11,o12,o13,o14,e11,e12,e13,e21,e22,e23,flag
20,1,1,7,5,1.5,1,0,0,0,0,1,0,0,1,0,0,1,0,0,0,1,tr
20,2,0,5,16,2.0,1,0,0,0,0,1,0,0,1,0,0,1,0,0,0,1,tr
21,1,0,11,4,1.5,0,1,0,1,0,0,0,0,1,0,1,0,0,0,1,0,tr
21,2,1,8,11,2.75,0,1,0,1,0,0,0,0,1,0,1,0,0,0,1,0,tr
22,1,0,38,6,1.5,1,0,0,1,0,0,0,0,1,0,1,0,0,1,0,0,tr
22,2,1,19,14,3.5,1,0,0,1,0,0,0,0,1,0,1,0,0,1,0,0,tr
24,1,0,19,6,1.5,0,1,0,1,0,0,0,0,1,0,1,0,0,0,0,1,tr
24,2,1,15,13,2.75,0,1,0,1,0,0,0,0,1,0,1,0,0,0,0,1,tr
25,1,1,7,4,1.5,0,1,0,1,0,0,0,0,1,0,0,1,0,0,0,1,tr
25,2,0,6,16,2.0,0,1,0,1,0,0,0,0,1,0,0,1,0,0,0,1,tr
27,1,1,12,7,2.0,1,0,0,1,0,0,0,1,0,0,0,1,0,0,1,0,tr
27,2,0,7,21,2.75,1,0,0,1,0,0,0,1,0,0,0,1,0,0,1,0,tr
29,1,1,3,6,1.5,1,0,0,1,0,0,0,1,0,0,0,1,0,0,1,0,tr
29,2,0,4,13,2.0,1,0,0,1,0,0,0,1,0,0,0,1,0,0,1,0,tr
30,1,1,5,7,2.0,0,1,0,1,0,0,0,0,1,0,0,0,1,0,0,1,tr
30,2,0,3,17,2.0,0,1,0,1,0,0,0,0,1,0,0,0,1,0,0,1,tr
31,1,1,16,4,1.5,1,0,0,1,0,0,0,1,0,0,0,1,0,1,0,0,tr
31,2,0,12,12,2.75,1,0,0,1,0,0,0,1,0,0,0,1,0,1,0,0,tr
35,1,1,18,5,1.5,1,0,0,1,0,0,0,1,0,0,0,1,0,0,0,1,tr
35,2,0,14,11,2.75,1,0,0,1,0,0,0,1,0,0,0,1,0,0,0,1,tr
36,1,1,9,6,1.5,1,0,0,1,0,0,0,0,1,0,0,0,1,1,0,0,tr
36,2,0,7,15,2.75,1,0,0,1,0,0,0,0,1,0,0,0,1,1,0,0,tr
37,1,1,6,5,1.5,0,1,0,1,0,0,0,0,1,0,0,1,0,1,0,0,tr
37,2,0,6,17,2.0,0,1,0,1,0,0,0,0,1,0,0,1,0,1,0,0,tr
38,1,0,7,7,1.5,0,1,0,1,0,0,0,0,0,1,0,1,0,0,1,0,tr
38,2,1,6,13,2.0,0,1,0,1,0,0,0,0,0,1,0,1,0,0,1,0,tr
39,1,0,6,4,2.0,1,0,0,1,0,0,0,0,1,0,1,0,0,0,1,0,tr
39,2,1,5,11,2.0,1,0,0,1,0,0,0,0,1,0,1,0,0,0,1,0,tr
40,1,1,6,5,1.5,1,0,0,0,1,0,1,0,0,0,0,1,0,1,0,0,tr
40,2,0,6,14,2.0,1,0,0,0,1,0,1,0,0,0,0,1,0,1,0,0,tr
41,1,1,4,5,1.5,1,0,0,0,1,0,0,1,0,0,0,1,0,1,0,0,tr
41,2,0,6,14,2.0,1,0,0,0,1,0,0,1,0,0,0,1,0,1,0,0,tr
42,1,1,22,5,2.0,0,1,0,1,0,0,1,0,0,0,0,1,0,1,0,0,tr
42,2,0,17,16,3.5,0,1,0,1,0,0,1,0,0,0,0,1,0,1,0,0,tr
43,1,0,6,5,1.5,1,0,0,1,0,0,0,1,0,0,1,0,0,1,0,0,tr
43,2,1,3,15,2.0,1,0,0,1,0,0,0,1,0,0,1,0,0,1,0,0,tr
45,1,0,16,5,2.0,0,1,0,1,0,0,0,0,1,0,0,1,0,0,1,0,tr
45,2,1,14,14,2.75,0,1,0,1,0,0,0,0,1,0,0,1,0,0,1,0,tr
46,1,0,4,6,1.5,0,1,0,1,0,0,0,0,1,0,0,0,1,0,0,1,tr
46,2,1,4,10,2.0,0,1,0,1,0,0,0,0,1,0,0,0,1,0,0,1,tr
48,1,1,8,5,1.5,0,1,0,0,0,1,0,1,0,0,0,0,1,1,0,0,tr
48,2,0,7,14,2.0,0,1,0,0,0,1,0,1,0,0,0,0,1,1,0,0,tr
49,1,1,9,6,2.0,0,1,0,1,0,0,0,0,1,0,0,0,1,1,0,0,tr
49,2,0,7,15,2.0,0,1,0,1,0,0,0,0,1,0,0,0,1,1,0,0,tr
50,1,1,6,6,1.5,0,0,1,1,0,0,0,1,0,0,0,0,1,0,1,0,tr
50,2,0,5,16,2.0,0,0,1,1,0,0,0,1,0,0,0,0,1,0,1,0,tr
51,1,1,6,5,1.5,0,1,0,1,0,0,0,0,1,0,0,1,0,0,0,1,tr
51,2,0,4,16,2.0,0,1,0,1,0,0,0,0,1,0,0,1,0,0,0,1,tr
52,1,1,8,5,1.5,0,1,0,0,0,1,0,0,1,0,0,1,0,0,1,0,tr
52,2,0,10,15,2.75,0,1,0,0,0,1,0,0,1,0,0,1,0,0,1,0,tr
54,1,1,5,4,1.5,1,0,0,1,0,0,0,0,1,0,1,0,0,0,1,0,tr
54,2,0,4,17,2.0,1,0,0,1,0,0,0,0,1,0,1,0,0,0,1,0,tr
55,1,0,14,6,1.5,0,1,0,1,0,0,0,0,0,1,0,1,0,0,1,0,tr
55,2,1,14,11,2.75,0,1,0,1,0,0,0,0,0,1,0,1,0,0,1,0,tr
56,1,1,4,6,1.5,0,1,0,1,0,0,0,1,0,0,1,0,0,0,1,0,tr
56,2,0,3,19,2.0,0,1,0,1,0,0,0,1,0,0,1,0,0,0,1,0,tr
57,1,0,6,7,1.5,0,1,0,0,0,1,0,0,1,0,1,0,0,0,0,1,tr
57,2,1,5,17,2.0,0,1,0,0,0,1,0,0,1,0,1,0,0,0,0,1,tr
58,1,1,21,3,1.5,1,0,0,0,0,1,0,0,0,1,0,0,1,0,1,0,tr
58,2,0,17,15,3.5,1,0,0,0,0,1,0,0,0,1,0,0,1,0,1,0,tr
60,1,1,6,5,2.0,0,1,0,1,0,0,0,1,0,0,0,1,0,0,1,0,tr
60,2,0,6,16,2.0,0,1,0,1,0,0,0,1,0,0,0,1,0,0,1,0,tr
61,1,0,16,5,1.5,0,1,0,1,0,0,0,0,1,0,0,1,0,0,1,0,tr
61,2,1,8,11,2.75,0,1,0,1,0,0,0,0,1,0,0,1,0,0,1,0,tr
62,1,1,6,6,2.0,1,0,0,0,0,1,1,0,0,0,0,1,0,1,0,0,tr
62,2,0,4,18,2.0,1,0,0,0,0,1,1,0,0,0,0,1,0,1,0,0,tr
64,1,0,13,5,2.0,0,1,0,0,0,1,0,0,0,1,1,0,0,0,0,1,tr
64,2,1,7,18,2.0,0,1,0,0,0,1,0,0,0,1,1,0,0,0,0,1,tr
65,1,1,8,4,1.5,0,0,1,1,0,0,1,0,0,0,0,0,1,0,1,0,tr
65,2,0,8,15,2.75,0,0,1,1,0,0,1,0,0,0,0,0,1,0,1,0,tr
66,1,1,9,4,1.5,0,1,0,1,0,0,0,0,1,0,0,0,1,1,0,0,tr
66,2,0,8,16,2.75,0,1,0,1,0,0,0,0,1,0,0,0,1,1,0,0,tr
67,1,1,26,6,1.5,1,0,0,1,0,0,1,0,0,0,1,0,0,0,1,0,tr
67,2,0,27,14,4.25,1,0,0,1,0,0,1,0,0,0,1,0,0,0,1,0,tr
68,1,1,32,5,1.5,1,0,0,0,0,1,0,1,0,0,0,1,0,1,0,0,tr
68,2,0,24,16,4.25,1,0,0,0,0,1,0,1,0,0,0,1,0,1,0,0,tr
69,1,0,12,5,1.5,0,1,0,1,0,0,0,1,0,0,0,1,0,1,0,0,tr
69,2,1,7,14,2.0,0,1,0,1,0,0,0,1,0,0,0,1,0,1,0,0,tr
70,1,0,16,5,1.5,0,1,0,1,0,0,0,0,0,1,0,1,0,0,1,0,tr
70,2,1,12,13,2.75,0,1,0,1,0,0,0,0,0,1,0,1,0,0,1,0,tr
71,1,1,5,4,1.5,0,1,0,1,0,0,1,0,0,0,0,1,0,1,0,0,tr
71,2,0,7,17,2.75,0,1,0,1,0,0,1,0,0,0,0,1,0,1,0,0,tr
72,1,1,5,5,1.5,0,1,0,1,0,0,0,1,0,0,0,0,1,1,0,0,tr
72,2,0,4,16,2.0,0,1,0,1,0,0,0,1,0,0,0,0,1,1,0,0,tr
73,1,1,3,5,1.5,1,0,0,1,0,0,0,0,1,0,0,1,0,0,1,0,tr
73,2,0,3,18,2.0,1,0,0,1,0,0,0,0,1,0,0,1,0,0,1,0,tr
74,1,0,9,4,1.5,0,1,0,1,0,0,0,0,1,0,1,0,0,0,0,1,tr
74,2,1,8,14,2.75,0,1,0,1,0,0,0,0,1,0,1,0,0,0,0,1,tr
76,1,1,7,6,2.0,1,0,0,0,0,1,1,0,0,0,0,1,0,1,0,0,tr
76,2,0,5,13,2.0,1,0,0,0,0,1,1,0,0,0,0,1,0,1,0,0,tr
77,1,1,17,5,1.5,1,0,0,1,0,0,0,0,1,0,0,1,0,1,0,0,tr
77,2,0,14,15,2.75,1,0,0,1,0,0,0,0,1,0,0,1,0,1,0,0,tr
78,1,0,49,5,1.5,1,0,0,0,0,1,0,1,0,0,0,1,0,1,0,0,tr
78,2,1,28,15,4.25,1,0,0,0,0,1,0,1,0,0,0,1,0,1,0,0,tr
80,1,0,4,6,1.5,1,0,0,1,0,0,0,0,1,0,1,0,0,0,1,0,tr
80,2,1,5,16,2.0,1,0,0,1,0,0,0,0,1,0,1,0,0,0,1,0,tr
82,1,0,13,5,2.0,1,0,0,1,0,0,0,0,0,1,1,0,0,0,1,0,tr
82,2,1,9,14,2.75,1,0,0,1,0,0,0,0,0,1,1,0,0,0,1,0,tr
83,1,0,17,6,2.0,1,0,0,1,0,0,1,0,0,0,1,0,0,0,0,1,tr
83,2,1,10,15,2.75,1,0,0,1,0,0,1,0,0,0,1,0,0,0,0,1,tr
85,1,1,7,5,1.5,1,0,0,1,0,0,1,0,0,0,0,1,0,0,1,0,tr
85,2,0,7,19,2.0,1,0,0,1,0,0,1,0,0,0,0,1,0,0,1,0,tr
88,1,1,9,5,2.0,1,0,0,1,0,0,0,0,1,0,0,0,1,0,1,0,tr
88,2,0,8,18,2.75,1,0,0,1,0,0,0,0,1,0,0,0,1,0,1,0,tr
89,1,0,25,7,2.0,1,0,0,1,0,0,0,0,1,0,1,0,0,0,0,1,tr
89,2,1,18,16,3.5,1,0,0,1,0,0,0,0,1,0,1,0,0,0,0,1,tr
90,1,1,31,5,1.5,1,0,0,0,0,1,0,0,1,0,1,0,0,0,1,0,tr
90,2,0,23,15,3.5,1,0,0,0,0,1,0,0,1,0,1,0,0,0,1,0,tr
91,1,1,9,6,1.5,1,0,0,1,0,0,1,0,0,0,0,1,0,0,1,0,tr
91,2,0,6,15,2.0,1,0,0,1,0,0,1,0,0,0,0,1,0,0,1,0,tr
92,1,0,5,5,1.5,1,0,0,1,0,0,0,0,0,1,1,0,0,0,1,0,tr
92,2,1,4,12,2.0,1,0,0,1,0,0,0,0,0,1,1,0,0,0,1,0,tr
93,1,1,6,3,2.0,1,0,0,0,0,1,0,1,0,0,1,0,0,0,1,0,tr
93,2,0,4,13,2.0,1,0,0,0,0,1,0,1,0,0,1,0,0,0,1,0,tr
94,1,0,3,3,1.5,0,1,0,1,0,0,0,0,1,0,1,0,0,0,1,0,tr
94,2,1,3,15,2.0,0,1,0,1,0,0,0,0,1,0,1,0,0,0,1,0,tr
95,1,0,23,7,2.0,1,0,0,1,0,0,1,0,0,0,0,1,0,0,0,1,tr
95,2,1,17,13,3.5,1,0,0,1,0,0,1,0,0,0,0,1,0,0,0,1,tr
96,1,1,4,5,2.0,1,0,0,1,0,0,0,0,1,0,0,0,1,0,1,0,tr
96,2,0,5,13,2.0,1,0,0,1,0,0,0,0,1,0,0,0,1,0,1,0,tr
98,1,0,8,7,2.0,0,1,0,1,0,0,0,0,1,0,1,0,0,0,1,0,tr
98,2,1,6,17,2.0,0,1,0,1,0,0,0,0,1,0,1,0,0,0,1,0,tr
99,1,1,8,4,1.5,1,0,0,1,0,0,1,0,0,0,1,0,0,0,1,0,tr
99,2,0,8,16,2.75,1,0,0,1,0,0,1,0,0,0,1,0,0,0,1,0,tr
101,1,0,16,5,1.5,1,0,0,1,0,0,0,1,0,0,0,1,0,0,0,1,tr
101,2,1,10,15,2.75,1,0,0,1,0,0,0,1,0,0,0,1,0,0,0,1,tr
102,1,0,10,5,1.5,1,0,0,1,0,0,1,0,0,0,0,1,0,0,0,1,tr
102,2,1,5,16,2.0,1,0,0,1,0,0,1,0,0,0,0,1,0,0,0,1,tr
103,1,0,7,3,1.5,0,1,0,1,0,0,0,0,1,0,1,0,0,0,1,0,tr
103,2,1,4,14,2.0,0,1,0,1,0,0,0,0,1,0,1,0,0,0,1,0,tr
104,1,1,11,6,1.5,1,0,0,1,0,0,0,0,0,1,0,0,1,0,1,0,tr
104,2,0,8,16,2.75,1,0,0,1,0,0,0,0,0,1,0,0,1,0,1,0,tr
105,1,0,10,5,1.5,0,1,0,1,0,0,0,0,0,1,1,0,0,0,1,0,tr
105,2,1,6,14,2.0,0,1,0,1,0,0,0,0,0,1,1,0,0,0,1,0,tr
106,1,1,9,4,1.5,1,0,0,0,0,1,0,1,0,0,1,0,0,0,1,0,tr
106,2,0,6,16,2.0,1,0,0,0,0,1,0,1,0,0,1,0,0,0,1,0,tr
107,1,0,13,5,1.5,0,1,0,1,0,0,0,1,0,0,1,0,0,0,1,0,tr
107,2,1,11,16,2.75,0,1,0,1,0,0,0,1,0,0,1,0,0,0,1,0,tr
108,1,0,11,6,1.5,0,1,0,0,1,0,1,0,0,0,0,1,0,1,0,0,tr
108,2,1,7,14,2.0,0,1,0,0,1,0,1,0,0,0,0,1,0,1,0,0,tr
109,1,1,49,4,1.5,1,0,0,0,0,1,0,1,0,0,0,0,1,0,1,0,tr
109,2,0,33,14,5.0,1,0,0,0,0,1,0,1,0,0,0,0,1,0,1,0,tr
110,1,0,21,4,1.5,0,1,0,1,0,0,0,0,1,0,0,1,0,0,0,1,tr
110,2,1,14,16,2.75,0,1,0,1,0,0,0,0,1,0,0,1,0,0,0,1,tr
111,1,0,20,4,1.5,0,1,0,0,0,1,0,0,0,1,0,0,1,0,0,1,tr
111,2,1,12,12,2.75,0,1,0,0,0,1,0,0,0,1,0,0,1,0,0,1,tr
112,1,1,7,5,2.0,0,1,0,1,0,0,0,1,0,0,0,1,0,1,0,0,tr
112,2,0,4,17,2.0,0,1,0,1,0,0,0,1,0,0,0,1,0,1,0,0,tr
114,1,1,6,5,1.5,1,0,0,1,0,0,0,0,0,1,0,1,0,0,1,0,tr
114,2,0,3,15,2.0,1,0,0,1,0,0,0,0,0,1,0,1,0,0,1,0,tr
115,1,1,8,5,1.5,1,0,0,0,0,1,0,1,0,0,1,0,0,0,1,0,tr
115,2,0,6,15,2.75,1,0,0,0,0,1,0,1,0,0,1,0,0,0,1,0,tr
117,1,0,23,4,2.0,1,0,0,1,0,0,0,0,0,1,1,0,0,0,1,0,tr
117,2,1,15,17,3.5,1,0,0,1,0,0,0,0,0,1,1,0,0,0,1,0,tr
118,1,1,7,5,1.5,1,0,0,0,0,1,0,0,1,0,1,0,0,1,0,0,tr
118,2,0,5,14,2.0,1,0,0,0,0,1,0,0,1,0,1,0,0,1,0,0,tr
119,1,0,15,7,1.5,1,0,0,0,1,0,0,0,1,0,1,0,0,0,1,0,tr
119,2,1,11,15,2.75,1,0,0,0,1,0,0,0,1,0,1,0,0,0,1,0,tr
120,1,1,4,6,1.5,0,1,0,1,0,0,0,0,1,0,0,1,0,1,0,0,tr
120,2,0,5,15,2.0,0,1,0,1,0,0,0,0,1,0,0,1,0,1,0,0,tr
122,1,0,16,3,1.5,1,0,0,1,0,0,0,0,1,0,1,0,0,0,1,0,tr
122,2,1,11,13,2.75,1,0,0,1,0,0,0,0,1,0,1,0,0,0,1,0,tr
123,1,0,9,5,1.5,0,1,0,1,0,0,0,1,0,0,1,0,0,0,0,1,tr
123,2,1,6,13,2.0,0,1,0,1,0,0,0,1,0,0,1,0,0,0,0,1,tr
124,1,0,5,4,1.5,1,0,0,1,0,0,0,0,0,1,1,0,0,0,1,0,tr
124,2,1,4,14,2.0,1,0,0,1,0,0,0,0,0,1,1,0,0,0,1,0,tr
125,1,1,7,7,1.5,0,0,1,1,0,0,0,1,0,0,0,1,0,0,1,0,tr
125,2,0,4,17,2.0,0,0,1,1,0,0,0,1,0,0,0,1,0,0,1,0,tr
126,1,1,5,5,1.5,0,1,0,0,0,1,1,0,0,0,0,0,1,1,0,0,tr
126,2,0,4,19,2.0,0,1,0,0,0,1,1,0,0,0,0,0,1,1,0,0,tr
127,1,1,12,6,1.5,1,0,0,1,0,0,1,0,0,0,0,1,0,0,0,1,tr
127,2,0,10,15,2.75,1,0,0,1,0,0,1,0,0,0,0,1,0,0,0,1,tr
128,1,0,4,4,2.0,1,0,0,1,0,0,0,0,0,1,1,0,0,0,1,0,tr
128,2,1,3,17,2.0,1,0,0,1,0,0,0,0,0,1,1,0,0,0,1,0,tr
129,1,1,7,4,2.0,1,0,0,0,0,1,0,0,1,0,1,0,0,0,1,0,tr
129,2,0,6,14,2.0,1,0,0,0,0,1,0,0,1,0,1,0,0,0,1,0,tr
130,1,1,7,5,1.5,1,0,0,0,0,1,1,0,0,0,1,0,0,1,0,0,tr
130,2,0,7,18,2.75,1,0,0,0,0,1,1,0,0,0,1,0,0,1,0,0,tr
131,1,1,12,5,2.0,1,0,0,1,0,0,0,1,0,0,0,0,1,0,1,0,tr
131,2,0,9,17,2.75,1,0,0,1,0,0,0,1,0,0,0,0,1,0,1,0,tr
132,1,0,7,6,1.5,1,0,0,1,0,0,0,0,1,0,1,0,0,0,1,0,tr
132,2,1,5,17,2.0,1,0,0,1,0,0,0,0,1,0,1,0,0,0,1,0,tr
133,1,0,5,6,1.5,1,0,0,1,0,0,0,0,1,0,1,0,0,0,1,0,tr
133,2,1,3,14,2.0,1,0,0,1,0,0,0,0,1,0,1,0,0,0,1,0,tr
134,1,1,6,5,1.5,1,0,0,0,0,1,1,0,0,0,0,1,0,0,1,0,tr
134,2,0,5,18,2.0,1,0,0,0,0,1,1,0,0,0,0,1,0,0,1,0,tr
135,1,0,23,4,1.5,1,0,0,1,0,0,0,0,1,0,0,0,1,1,0,0,tr
135,2,1,12,15,2.75,1,0,0,1,0,0,0,0,1,0,0,0,1,1,0,0,tr
136,1,0,5,4,1.5,1,0,0,1,0,0,0,1,0,0,1,0,0,0,1,0,tr
136,2,1,4,18,2.0,1,0,0,1,0,0,0,1,0,0,1,0,0,0,1,0,tr
137,1,1,12,3,2.0,0,1,0,1,0,0,1,0,0,0,1,0,0,0,1,0,tr
137,2,0,13,15,2.75,0,1,0,1,0,0,1,0,0,0,1,0,0,0,1,0,tr
138,1,1,3,5,1.5,0,1,0,0,0,1,0,0,1,0,0,1,0,1,0,0,tr
138,2,0,3,16,2.0,0,1,0,0,0,1,0,0,1,0,0,1,0,1,0,0,tr
139,1,1,6,4,1.5,0,1,0,1,0,0,1,0,0,0,1,0,0,0,1,0,tr
139,2,0,5,17,2.0,0,1,0,1,0,0,1,0,0,0,1,0,0,0,1,0,tr
140,1,0,12,5,1.5,1,0,0,1,0,0,0,0,1,0,1,0,0,0,1,0,tr
140,2,1,10,13,2.75,1,0,0,1,0,0,0,0,1,0,1,0,0,0,1,0,tr
142,1,0,32,6,2.0,1,0,0,1,0,0,0,1,0,0,0,1,0,0,1,0,tr
142,2,1,27,12,4.25,1,0,0,1,0,0,0,1,0,0,0,1,0,0,1,0,tr
143,1,0,7,4,2.0,0,1,0,1,0,0,0,0,1,0,1,0,0,0,1,0,tr
143,2,1,4,15,2.0,0,1,0,1,0,0,0,0,1,0,1,0,0,0,1,0,tr
144,1,0,5,4,1.5,1,0,0,1,0,0,0,0,1,0,1,0,0,0,0,1,tr
144,2,1,4,16,2.0,1,0,0,1,0,0,0,0,1,0,1,0,0,0,0,1,tr
145,1,0,6,7,1.5,0,0,1,1,0,0,0,1,0,0,1,0,0,0,0,1,tr
145,2,1,6,14,2.0,0,0,1,1,0,0,0,1,0,0,1,0,0,0,0,1,tr
148,1,0,14,3,1.5,1,0,0,1,0,0,0,1,0,0,1,0,0,0,1,0,tr
148,2,1,8,16,2.75,1,0,0,1,0,0,0,1,0,0,1,0,0,0,1,0,tr
152,1,1,14,3,1.5,0,1,0,1,0,0,0,0,0,1,0,0,1,0,1,0,tr
152,2,0,8,13,2.75,0,1,0,1,0,0,0,0,0,1,0,0,1,0,1,0,tr
154,1,0,15,5,1.5,0,0,1,1,0,0,0,0,1,0,1,0,0,0,1,0,tr
154,2,1,10,16,2.75,0,0,1,1,0,0,0,0,1,0,1,0,0,0,1,0,tr
155,1,1,8,5,1.5,0,1,0,1,0,0,0,1,0,0,0,0,1,0,0,1,tr
155,2,0,8,18,2.75,0,1,0,1,0,0,0,1,0,0,0,0,1,0,0,1,tr
157,1,0,4,6,1.5,1,0,0,1,0,0,0,0,1,0,1,0,0,1,0,0,tr
157,2,1,5,13,2.0,1,0,0,1,0,0,0,0,1,0,1,0,0,1,0,0,tr
159,1,0,5,6,1.5,0,1,0,1,0,0,1,0,0,0,0,1,0,1,0,0,tr
159,2,1,4,12,2.0,0,1,0,1,0,0,1,0,0,0,0,1,0,1,0,0,tr
160,1,0,12,5,1.5,0,1,0,1,0,0,0,0,1,0,1,0,0,1,0,0,tr
160,2,1,8,17,2.75,0,1,0,1,0,0,0,0,1,0,1,0,0,1,0,0,tr
161,1,1,9,4,1.5,1,0,0,0,1,0,0,1,0,0,0,1,0,1,0,0,tr
161,2,0,11,13,2.75,1,0,0,0,1,0,0,1,0,0,0,1,0,1,0,0,tr
162,1,0,11,7,1.5,0,1,0,1,0,0,0,1,0,0,1,0,0,1,0,0,tr
162,2,1,7,16,2.0,0,1,0,1,0,0,0,1,0,0,1,0,0,1,0,0,tr
163,1,0,4,5,1.5,0,1,0,1,0,0,0,1,0,0,1,0,0,0,0,1,tr
163,2,1,3,16,2.0,0,1,0,1,0,0,0,1,0,0,1,0,0,0,0,1,tr
164,1,0,6,6,1.5,1,0,0,1,0,0,0,1,0,0,1,0,0,0,1,0,tr
164,2,1,3,16,2.0,1,0,0,1,0,0,0,1,0,0,1,0,0,0,1,0,tr
165,1,0,11,4,2.0,1,0,0,1,0,0,1,0,0,0,1,0,0,0,1,0,tr
165,2,1,7,18,2.0,1,0,0,1,0,0,1,0,0,0,1,0,0,0,1,0,tr
166,1,0,13,5,1.5,0,1,0,1,0,0,0,0,1,0,0,1,0,0,1,0,tr
166,2,1,8,14,2.75,0,1,0,1,0,0,0,0,1,0,0,1,0,0,1,0,tr
168,1,1,9,5,2.0,0,1,0,1,0,0,0,1,0,0,1,0,0,0,1,0,tr
168,2,0,7,20,2.0,0,1,0,1,0,0,0,1,0,0,1,0,0,0,1,0,tr
169,1,0,20,3,1.5,1,0,0,1,0,0,1,0,0,0,0,0,1,0,1,0,tr
169,2,1,13,11,2.75,1,0,0,1,0,0,1,0,0,0,0,0,1,0,1,0,tr
172,1,0,32,6,1.5,1,0,0,1,0,0,1,0,0,0,1,0,0,0,1,0,tr
172,2,1,17,16,3.5,1,0,0,1,0,0,1,0,0,0,1,0,0,0,1,0,tr
173,1,1,7,5,2.0,0,1,0,1,0,0,1,0,0,0,0,1,0,1,0,0,tr
173,2,0,4,15,2.0,0,1,0,1,0,0,1,0,0,0,0,1,0,1,0,0,tr
174,1,0,10,6,1.5,0,1,0,1,0,0,0,0,1,0,0,1,0,0,1,0,tr
174,2,1,8,16,2.75,0,1,0,1,0,0,0,0,1,0,0,1,0,0,1,0,tr
175,1,0,15,5,1.5,1,0,0,1,0,0,0,1,0,0,1,0,0,0,1,0,tr
175,2,1,7,12,2.75,1,0,0,1,0,0,0,1,0,0,1,0,0,0,1,0,tr
176,1,1,10,4,1.5,0,1,0,1,0,0,0,0,1,0,0,0,1,0,0,1,tr
176,2,0,7,15,2.0,0,1,0,1,0,0,0,0,1,0,0,0,1,0,0,1,tr
177,1,1,16,4,1.5,1,0,0,0,0,1,0,0,1,0,1,0,0,0,1,0,tr
177,2,0,14,20,2.75,1,0,0,0,0,1,0,0,1,0,1,0,0,0,1,0,tr
